id,sweep_init_time,pop_radius_at_sweep_init
0000007Bbb,0,0
0000007Bb,651.150879,78.96840495
0000007Bbb,0,0
0000007Bab,323.034576,34.86125565
0000007Cbb,0,0
0000007Cab,0,0
0000007Dbb,0,0
0000007Dab,0,0
0000007Ebb,0,0
0000007Eab,0,0
0000007Fbb,0,0
0000007Fab,0,0
00000080bb,0,0
00000080ab,0,0
00000081bb,0,0
00000081ab,0,0
00000082bb,0,0
00000082ab,0,0
00000082bb,286.165405,36.48522912
00000082ab,482.446991,67.55448792
00000082bb,732.981567,119.4044309
00000083b,0,0
00000083bb,0,0
00000084b,0,0
00000084bb,0,0
00000084ab,195.128311,24.62479103
00000085bb,0,0
00000085ab,0,0
00000086bb,0,0
00000086b,372.744995,48.89281384
00000086bb,0,0
00000087b,0,0
00000087bb,437.663269,55.05692551
00000087ab,0,0
00000087bb,336.062469,39.517443
00000088b,0,0
00000088bb,0,0
00000089b,0,0
00000089bb,0,0
0000008Ab,0,0
0000008Abb,128.12587,18.22952334
0000008Aab,0,0
0000008Bbb,0,0
0000008Bab,0,0
0000008Cbb,0,0
0000008Cab,0,0
0000008Dbb,0,0
0000008Dab,0,0
0000008Dbb,161.010956,20.86738901
0000008Dab,710.297668,96.27990707
0000008Ebb,0,0
0000008Eab,0,0
0000008Fbb,0,0
0000008Fab,0,0
0000008Fbb,103.280296,9.218933757
00000090b,0,0
00000090bb,0,0
00000091b,0,0
00000091bb,300.862915,34.09031233
00000091ab,0,0
00000092bb,0,0
00000092ab,0,0
00000093bb,0,0
00000093ab,0,0
00000094bb,0,0
00000094ab,0,0
00000094bb,175.581314,16.6029022
00000095b,0,0
00000095bb,0,0
00000096b,0,0
00000096bb,0,0
00000097b,0,0
00000097bb,0,0
00000098b,0,0
00000098bb,0,0
00000098ab,234.935272,30.80909088
00000098bb,386.222656,52.90462011
00000099b,0,0
00000099bb,0,0
0000009Ab,0,0
0000009Abb,0,0
0000009Bb,0,0
0000009Bbb,0,0
0000009Bab,66.608887,5.556622982
0000009Cbb,0,0
0000009Cab,0,0
0000009Dbb,0,0
0000009Dab,0,0
0000009Ebb,0,0
0000009Eab,0,0
0000009Fbb,0,0
0000009Fab,0,0
000000A0bb,0,0
000000A0ab,0,0
000000A1bb,0,0
000000A1ab,0,0
000000A2bb,0,0
000000A2ab,0,0
000000A3bb,0,0
000000A3ab,0,0
000000A4bb,0,0
000000A4b,448.61853,53.99444645
000000A4bb,0,0
000000A5b,0,0
000000A5bb,0,0
000000A6b,0,0
000000A6bb,236.394073,31.80548409
000000A6ab,0,0
000000A7bb,0,0
000000A7ab,0,0
000000A8bb,0,0
000000A8ab,0,0
000000A9bb,0,0
000000A9ab,0,0
000000A9bb,683.294067,93.90325057
000000AAb,0,0
000000AAbb,0,0
000000ABb,0,0
000000ABbb,0,0
000000ACb,0,0
000000ACbb,0,0
000000ADb,0,0
000000ADbb,0,0
000000AEb,0,0
000000AEbb,0,0
000000AFb,0,0
000000AFbb,0,0
000000B0b,0,0
000000B0bb,0,0
000000B1b,0,0
000000B1bb,340.632538,36.58542157
000000B1b,599.103271,73.9260606
