id,sweep_init_time,pop_radius_at_sweep_init
00000000d,0,0
00000001d,0,0
00000002d,0,0
00000002d,707.559875,99.30377774
00000002d,863.759583,125.2577115
00000003d,0,0
00000004d,0,0
00000005d,0,0
00000006d,0,0
00000007d,0,0
00000008d,0,0
00000009d,0,0
00000009d,352.267303,42.60658729
0000000Ad,0,0
0000000Bd,0,0
0000000Bd,172.644226,20.41243839
0000000Bd,310.404022,39.82635011
0000000Cd,0,0
0000000Cd,168.700134,18.46374523
0000000Dd,0,0
0000000Ed,0,0
0000000Fd,0,0
00000010d,0,0
00000011d,0,0
00000011d,204.670334,24.02944306
00000012d,0,0
00000013d,0,0
00000014d,0,0
00000015d,0,0
00000015d,431.750122,45.90437285
00000016d,0,0
00000017d,0,0
00000017d,638.149048,85.7215476
00000017d,848.834656,123.5922927
00000018d,0,0
00000019d,0,0
0000001Ad,0,0
0000001Ad,208.807846,20.08229633
0000001Bd,0,0
0000001Bd,473.157867,62.97730688
0000001Cd,0,0
0000001Dd,0,0
0000001Ed,0,0
0000001Ed,427.257172,54.46986735
0000001Fd,0,0
0000001Fd,387.3573,47.77989644
00000020d,0,0
00000020d,495.161102,62.71646724
00000021d,0,0
00000022d,0,0
00000023d,0,0
00000024d,0,0
00000025d,0,0
00000025d,240.217102,25.61942594
00000026d,0,0
00000027d,0,0
00000028d,0,0
00000029d,0,0
0000002Ad,0,0
0000002Bd,0,0
0000002Cd,0,0
0000002Dd,0,0
0000002Ed,0,0
0000002Fd,0,0
00000030d,0,0
00000031d,0,0
00000032d,0,0
00000033d,0,0
00000033d,432.032135,55.44293076
00000034d,0,0
00000034d,467.449097,53.12976633
00000035d,0,0
00000036d,0,0
00000037d,0,0
00000037d,319.997803,33.68169287
00000038d,0,0
00000038d,578.609131,76.65299857
00000039d,0,0
0000003Ad,0,0
0000003Bd,0,0
0000003Cd,0,0
0000003Dd,0,0
0000003Dd,454.736603,56.08509869
0000003Ed,0,0
0000003Fd,0,0
00000040d,0,0
00000041d,0,0
00000042d,0,0
