,index,log2_deme,migration_rate,normal_birth_rate
161,000002FF,3,0.1,0.95238095238
162,0000057D,5,0.1,0.95238095238
163,00000601,5,0.75,0.90909090909
164,00000518,5,0.01,0.83333333333
165,000007A4,7,0.01,0.71428571428
166,0000014B,2,0.01,0.90909090909
167,0000021F,2,0.5,0.83333333333
168,0000062E,5,1.0,0.83333333333
169,00000955,8,0.1,0.83333333333
170,00000520,5,0.01,0.71428571428
171,000009A9,8,0.5,0.71428571428
172,0000001B,1,0.01,0.83333333333
173,00000361,3,0.5,0.83333333333
174,000004D1,4,0.75,0.71428571428
175,0000032B,3,0.25,0.90909090909
176,00000812,7,0.1,0.83333333333
177,0000042A,4,0.05,0.83333333333
178,0000020F,2,0.5,0.95238095238
179,0000078D,7,0.01,0.90909090909
180,000000BD,1,0.25,0.83333333333
181,00000502,5,0.01,0.95238095238
182,0000026A,2,1.0,0.90909090909
183,00000194,2,0.05,0.95238095238
184,000007A8,7,0.025,0.95238095238
185,0000064D,6,0.01,0.90909090909
186,000002F8,3,0.1,0.95238095238
187,0000076B,6,1.0,0.90909090909
188,000001DB,2,0.1,0.71428571428
189,000007B4,7,0.025,0.90909090909
190,000003F2,4,0.025,0.90909090909
191,000009BC,8,0.75,0.90909090909
192,000004C5,4,0.75,0.83333333333
193,0000048E,4,0.5,0.95238095238
194,00000931,8,0.05,0.71428571428
195,00000874,7,0.75,0.95238095238
196,00000482,4,0.25,0.71428571428
197,00000716,6,0.5,0.90909090909
198,00000748,6,0.75,0.83333333333
199,000003B0,3,1.0,0.83333333333
200,0000024E,2,0.75,0.71428571428
201,000004CC,4,0.75,0.83333333333
202,0000010E,1,0.75,0.71428571428
203,00000144,2,0.01,0.95238095238
204,00000132,1,1.0,0.83333333333
205,0000063C,5,1.0,0.71428571428
206,00000484,4,0.25,0.71428571428
207,00000404,4,0.025,0.83333333333
208,0000098E,8,0.5,0.95238095238
209,000005CF,5,0.5,0.95238095238
210,00000312,3,0.1,0.83333333333
211,0000080A,7,0.1,0.90909090909
212,0000097B,8,0.25,0.83333333333
213,0000011E,1,1.0,0.95238095238
214,00000987,8,0.25,0.71428571428
215,000000C0,1,0.25,0.71428571428
216,00000786,7,0.01,0.95238095238
217,000008EA,8,0.025,0.95238095238
218,00000195,2,0.05,0.95238095238
219,0000082D,7,0.25,0.90909090909
220,000002A0,3,0.01,0.71428571428
221,000004BA,4,0.75,0.90909090909
222,00000678,6,0.025,0.90909090909
223,00000003,1,0.01,0.95238095238
224,00000371,3,0.75,0.95238095238
225,000008EE,8,0.025,0.95238095238
226,00000204,2,0.25,0.71428571428
227,000002F5,3,0.05,0.71428571428
228,000005FB,5,0.75,0.90909090909
229,00000151,2,0.01,0.90909090909
230,00000121,1,1.0,0.95238095238
231,000008D7,8,0.01,0.83333333333
232,000006A7,6,0.05,0.83333333333
233,00000729,6,0.5,0.71428571428
234,000003D1,4,0.01,0.90909090909
235,0000045B,4,0.1,0.71428571428
236,00000045,1,0.025,0.83333333333
237,0000014C,2,0.01,0.90909090909
238,000002C6,3,0.025,0.71428571428
239,000008D1,8,0.01,0.90909090909
240,00000798,7,0.01,0.83333333333
241,00000545,5,0.025,0.83333333333
242,00000902,8,0.025,0.83333333333
243,00000325,3,0.25,0.95238095238
244,0000051A,5,0.01,0.83333333333
245,000004A5,4,0.5,0.83333333333
246,00000081,1,0.1,0.95238095238
247,00000493,4,0.5,0.90909090909
248,00000722,6,0.5,0.83333333333
249,00000115,1,0.75,0.71428571428
250,00000721,6,0.5,0.83333333333
251,0000050A,5,0.01,0.90909090909
252,0000069C,6,0.05,0.90909090909
253,0000069A,6,0.05,0.90909090909
254,00000538,5,0.025,0.90909090909
255,00000935,8,0.05,0.71428571428
256,00000008,1,0.01,0.95238095238
257,00000612,5,0.75,0.71428571428
258,0000058E,5,0.1,0.83333333333
259,0000004D,1,0.025,0.71428571428
260,0000049C,4,0.5,0.83333333333
261,000002B8,3,0.025,0.90909090909
262,000000F0,1,0.75,0.95238095238
263,0000020D,2,0.5,0.95238095238
264,000007BF,7,0.025,0.83333333333
265,000006DA,6,0.1,0.71428571428
266,00000343,3,0.25,0.71428571428
267,000009F3,8,1.0,0.83333333333
268,00000234,2,0.75,0.95238095238
269,000004D4,4,0.75,0.71428571428
270,00000629,5,1.0,0.90909090909
271,000001AF,2,0.05,0.71428571428
272,000002AE,3,0.025,0.95238095238
273,00000593,5,0.1,0.83333333333
274,000008C9,8,0.01,0.95238095238
275,00000954,8,0.1,0.83333333333
276,00000550,5,0.05,0.95238095238
277,0000082B,7,0.25,0.90909090909
278,000007FA,7,0.1,0.95238095238
279,000003BE,3,1.0,0.71428571428
280,0000056F,5,0.05,0.71428571428
281,00000815,7,0.1,0.83333333333
282,000001A6,2,0.05,0.83333333333
283,0000029A,3,0.01,0.83333333333
284,000000B2,1,0.25,0.90909090909
285,0000071A,6,0.5,0.90909090909
286,0000036D,3,0.5,0.71428571428
287,0000005B,1,0.05,0.90909090909
288,00000287,3,0.01,0.95238095238
289,00000206,2,0.25,0.71428571428
290,000009C6,8,0.75,0.83333333333
291,000003DE,4,0.01,0.71428571428
292,00000490,4,0.5,0.95238095238
293,00000668,6,0.025,0.95238095238
294,000009B5,8,0.75,0.95238095238
