id,sweep_init_time,pop_radius_at_sweep_init
00000000d,0,0
00000001d,0,0
00000002d,455.889709,55.80345524
00000003d,0,0
00000004d,0,0
00000005d,0,0
00000006d,0,0
00000007d,0,0
00000008d,373.888184,53.76404074
00000009d,0,0
0000000Ad,0,0
0000000Bd,283.391327,32.36599814
0000000Cd,0,0
0000000Dd,0,0
0000000Ed,312.404114,34.02956606
0000000Fd,0,0
00000010d,0,0
00000011d,0,0
00000012d,0,0
00000013d,0,0
00000014d,0,0
00000015d,0,0
00000016d,0,0
00000017d,0,0
00000018d,246.657333,20.04263147
00000019d,0,0
0000001Ad,0,0
0000001Bd,0,0
0000001Cd,0,0
0000001Dd,0,0
0000001Ed,0,0
0000001Fd,171.238434,17.52623862
00000020d,0,0
00000021d,0,0
00000022d,0,0
00000023d,0,0
00000024d,0,0
00000025d,0,0
00000026d,0,0
00000027d,0,0
00000028d,0,0
00000029d,0,0
0000002Ad,0,0
0000002Bd,514.978638,65.06307076
0000002Cd,0,0
0000002Dd,0,0
0000002Ed,0,0
0000002Fd,0,0
00000030d,0,0
00000031d,0,0
00000032d,0,0
00000033d,0,0
00000034d,0,0
00000035d,0,0
00000036d,94.584518,9.097283683
00000037d,0,0
00000038d,0,0
00000039d,0,0
0000003Ad,0,0
0000003Bd,0,0
0000003Cd,0,0
0000003Dd,0,0
0000003Ed,0,0
0000003Fd,0,0
00000040d,0,0
00000041d,581.534119,72.86132226
00000042d,0,0
00000043d,469.131409,61.48631163
00000044d,0,0
00000045d,0,0
00000046d,0,0
00000047d,0,0
00000048d,0,0
00000049d,364.595184,47.53611135
0000004Ad,0,0
0000004Bd,0,0
0000004Cd,0,0
0000004Dd,0,0
0000004Ed,0,0
0000004Fd,0,0
00000050d,0,0
00000051d,131.240936,18.86452896
00000052d,0,0
00000053d,325.665405,38.47673688
00000054d,0,0
00000055d,0,0
00000056d,0,0
00000057d,0,0
00000058d,463.682983,54.59244878
00000059d,0,0
0000005Ad,362.507477,38.77341347
0000005Bd,0,0
0000005Cd,0,0
