,index,birth_rate_end_mean
232,000000E7d,1.503844736
233,000000E8d,1.485489584
234,000000E9d,1.533612509
235,000000EAd,1.842852
236,000000EBd,1.728551835
237,000000ECd,1.62685503
238,000000EDd,1.645291078
239,000000EEd,1.696247808
240,000000EFd,1.414991
241,000000F0d,1.751539201
242,000000F1d,1.61238
243,000000F2d,1.652456659
244,000000F3d,1.624388559
245,000000F4d,1.464424397
246,000000F5d,1.431309431
247,000000F6d,1.936067187
248,000000F7d,1.348376119
249,000000F8d,1.58632136
250,000000F9d,1.700808764
251,000000FAd,1.884195403
252,000000FBd,1.714938573
253,000000FCd,1.417541065
254,000000FDd,1.635459543
255,000000FEd,1.381658048
256,000000FFd,1.785184449
257,00000100d,1.43061902
258,00000101d,1.577391722
259,00000102d,1.5463053
260,00000103d,1.90605652
261,00000104d,1.622794467
262,00000105d,1.596522365
263,00000106d,1.624610976
264,00000107d,1.892963913
265,00000108d,1.542686864
266,00000109d,1.90110361
267,0000010Ad,2.141923437
268,0000010Bd,1.691081747
269,0000010Cd,1.626862476
270,0000010Dd,1.6179553
271,0000010Ed,1.515288946
272,0000010Fd,1.760048
273,00000110d,1.539793053
274,00000111d,1.840882986
275,00000112d,1.545814201
276,00000113d,1.60304226
277,00000114d,1.486766291
278,00000115d,1.502718539
279,00000116d,1.398204479
280,00000117d,1.356497792
281,00000118d,1.770476126
282,00000119d,1.594477998
283,0000011Ad,1.664909608
284,0000011Bd,1.596006746
285,0000011Cd,1.773868037
286,0000011Dd,1.669281097
287,0000011Ed,1.489285487
288,0000011Fd,1.700442187
289,00000120d,1.429400655
290,00000121d,1.75884654
291,00000122d,1.743896774
292,00000123d,1.578238792
293,00000124d,1.61164157
294,00000125d,1.397434
295,00000126d,1.499906818
296,00000127d,1.466219
297,00000128d,1.939387378
298,00000129d,1.878931347
299,0000012Ad,1.665993464
300,0000012Bd,1.693623083
301,0000012Cd,1.940486
302,0000012Dd,1.801737038
303,0000012Ed,1.597809474
304,0000012Fd,1.650374532
305,00000130d,1.665710978
306,00000131d,1.606084444
307,00000132d,1.627677
308,00000133d,1.696686751
309,00000134d,1.561229509
310,00000135d,1.689079275
311,00000136d,1.657788208
312,00000137d,1.669393999
313,00000138d,2.32897984
314,00000139d,1.783331084
315,0000013Ad,1.708089703
316,0000013Bd,1.480267035
317,0000013Cd,1.994278394
318,0000013Dd,1.378181777
319,0000013Ed,1.660194043
320,0000013Fd,1.554696428
321,00000140d,1.670214252
322,00000141d,1.698304999
323,00000142d,1.878711697
324,00000143d,1.689013017
325,00000144d,2.028202046
326,00000145d,1.756537115
327,00000146d,1.663539069
328,00000147d,1.812671543
329,00000148d,1.571629033
330,00000149d,1.500557683
331,0000014Ad,1.670124393
332,0000014Bd,1.741677327
333,0000014Cd,1.48667774
334,0000014Dd,1.450739264
335,0000014Ed,1.370755574
336,0000014Fd,1.582001945
337,00000150d,1.562327786
338,00000151d,1.688159449
339,00000152d,1.442201173
340,00000153d,1.45045401
341,00000154d,1.536410625
342,00000155d,1.563392309
343,00000156d,1.404566302
344,00000157d,1.634308664
345,00000158d,1.450495176
346,00000159d,1.473210018
347,0000015Ad,1.683462608
348,0000015Bd,1.733139493
349,0000015Cd,1.718429039
350,0000015Dd,1.756834656
351,0000015Ed,1.76697818
352,0000015Fd,1.509488
353,00000160d,2.036764896
354,00000161d,1.821348826
355,00000162d,1.615889423
356,00000163d,1.687910713
357,00000164d,2.161518912
358,00000165d,1.574975517
359,00000166d,1.57449394
360,00000167d,1.548329038
361,00000168d,1.47999106
362,00000169d,1.746964689
363,0000016Ad,1.583907117
364,0000016Bd,1.738758175
365,0000016Cd,1.4313626
366,0000016Dd,1.721702142
367,0000016Ed,1.68747936
368,0000016Fd,1.695322
369,00000170d,1.527044616
370,00000171d,1.466509456
371,00000172d,1.704093797
372,00000173d,1.645131881
373,00000174d,1.632547725
374,00000175d,1.601590779
375,00000176d,1.56308873
376,00000177d,1.454704909
377,00000178d,1.755057478
378,00000179d,1.641291727
379,0000017Ad,1.730377866
380,0000017Bd,1.446335293
381,0000017Cd,2.000829483
382,0000017Dd,1.60774495
383,0000017Ed,2.110337739
384,0000017Fd,1.515032089
385,00000180d,1.70063523
386,00000181d,1.752066033
387,00000182d,1.461299508
388,00000183d,1.692869307
389,00000184d,1.527534322
390,00000185d,1.597640461
391,00000186d,1.959530806
392,00000187d,1.830759757
393,00000188d,1.489884477
394,00000189d,1.578415018
395,0000018Ad,1.580116254
396,0000018Bd,1.639511501
397,0000018Cd,1.691066025
398,0000018Dd,2.005127987
399,0000018Ed,1.672063839
400,0000018Fd,1.408147695
