,index,birth_rate_end_mean
1,00000000a,1.51548976
2,00000000aa,1.737435626
3,00000001a,1.470719475
4,00000001aa,1.515342744
5,00000002a,1.579688837
6,00000002aa,1.66372962
7,00000003a,1.614203853
8,00000003aa,1.475469018
9,00000004a,1.412553353
10,00000004aa,1.400527752
11,00000005a,1.409298747
12,00000005aa,1.209403061
13,00000006a,1.515126993
14,00000006aa,1.266558334
15,00000007a,1.47522555
16,00000007aa,1.723404323
17,00000008a,1.386092937
18,00000008aa,1.292804426
19,00000009a,1.445170583
20,00000009aa,1.478926339
21,0000000Aa,1.424062255
22,0000000Aaa,1.483264759
23,0000000Ba,1.597185309
24,0000000Baa,1.57688154
25,0000000Ca,1.35614558
26,0000000Caa,1.585825862
27,0000000Da,1.726936197
28,0000000Daa,1.443008174
29,0000000Ea,1.381708122
30,0000000Eaa,1.286386971
31,0000000Fa,1.878888747
32,0000000Faa,1.467592362
33,00000010a,1.423865856
34,00000010aa,1.79338111
35,00000011a,1.668549732
36,00000011aa,1.712414734
37,00000012a,1.33636232
38,00000012aa,1.63613176
39,00000013a,1.441656597
40,00000013aa,1.616272004
41,00000014a,1.361011976
42,00000014aa,1.437621846
43,00000015a,1.403614793
44,00000015aa,1.506399619
45,00000016a,1.454078739
46,00000016aa,1.376394354
47,00000017a,1.415649498
48,00000017aa,1.528385756
49,00000018a,1.534354255
50,00000018aa,1.378468809
51,00000019a,1.435138183
52,00000019aa,1.339677902
53,0000001Aa,1.323313263
54,0000001Aaa,1.626591427
55,0000001Ba,1.483975488
56,0000001Baa,1.735535076
57,0000001Ca,1.393612394
58,0000001Caa,1.502786505
59,0000001Da,1.431385042
60,0000001Daa,1.529654786
61,0000001Ea,1.651007686
62,0000001Eaa,1.546378319
63,0000001Fa,1.529365263
64,0000001Faa,1.479706423
65,00000020a,1.540624565
66,00000020aa,1.577995513
67,00000021a,1.436277068
68,00000021aa,1.794903577
69,00000022a,1.424001171
70,00000022aa,1.535141347
71,00000023a,1.5991941
72,00000023aa,1.336050502
73,00000024a,1.806890488
74,00000024aa,1.577133998
75,00000025a,1.286100222
76,00000025aa,1.661739988
77,00000026a,1.412784888
78,00000026aa,1.470020516
79,00000027a,1.340074874
80,00000027aa,1.647100948
81,00000028a,1.464934486
82,00000028aa,1.377549663
83,00000029a,1.537073573
84,00000029aa,1.704358253
85,0000002Aa,1.72765907
86,0000002Aaa,1.408115657
87,0000002Ba,1.428353102
88,0000002Baa,1.52826345
89,0000002Ca,1.426805565
90,0000002Caa,1.634700322
91,0000002Da,1.497155262
92,0000002Daa,1.595729974
93,0000002Ea,1.568488644
94,0000002Eaa,1.412113099
95,0000002Fa,1.499534736
96,0000002Faa,1.614451523
97,00000030a,1.418704722
98,00000030aa,1.590700989
99,00000031a,1.578956404
100,00000031aa,1.431038864
101,00000032a,1.6217971
102,00000032aa,1.396050671
103,00000033a,1.321000318
104,00000033aa,1.324186796
105,00000034a,1.532752963
106,00000034aa,1.561399882
107,00000035a,1.662895819
108,00000035aa,1.748410288
109,00000036a,1.524125754
110,00000036aa,1.516759482
111,00000037a,1.602918131
112,00000037aa,1.401272793
113,00000038a,1.650821501
114,00000038aa,1.535541279
115,00000039a,1.653150628
116,00000039aa,1.517159073
117,0000003Aa,1.655335138
118,0000003Aaa,1.442223743
119,0000003Ba,1.395494123
120,0000003Baa,1.367590091
121,0000003Ca,1.200807781
122,0000003Caa,1.723736443
123,0000003Da,1.369675901
124,0000003Daa,1.630245743
125,0000003Ea,1.623023518
126,0000003Eaa,1.412764291
127,0000003Fa,1.757739768
128,0000003Faa,1.313080424
129,00000040a,1.350504652
130,00000040aa,1.357476734
131,00000041a,1.450455791
132,00000041aa,1.442459566
133,00000042a,1.345836629
134,00000042aa,1.449566558
135,00000043a,1.898917939
136,00000043aa,1.484844683
137,00000044a,1.63943419
138,00000044aa,1.791183909
139,00000045a,1.589640587
140,00000045aa,1.37815084
141,00000046a,1.522774953
142,00000046aa,1.319914055
143,00000047a,1.50157415
144,00000047aa,1.710079833
145,00000048a,1.286724109
146,00000048aa,1.512447256
147,00000049a,1.36915067
148,00000049aa,1.451796184
149,0000004Aa,1.560688029
150,0000004Aaa,1.336861417
151,0000004Ba,1.567562897
152,0000004Baa,1.444648265
153,0000004Ca,1.391694903
154,0000004Caa,1.469877464
155,0000004Da,1.453197978
156,0000004Daa,1.446243824
157,0000004Ea,1.42051237
158,0000004Eaa,1.55675195
159,0000004Fa,1.583199138
160,0000004Faa,1.30377108
161,00000050a,1.561208766
162,00000050aa,1.455106558
163,00000051a,1.485251354
164,00000051aa,1.510127421
165,00000052a,1.659905205
166,00000052aa,1.82192594
167,00000053a,1.440983486
168,00000053aa,1.503384296
169,00000054a,1.345071412
170,00000054aa,1.582891609
171,00000055a,1.773149594
172,00000055aa,1.242373567
173,00000056a,1.623075515
174,00000056aa,1.406174181
175,00000057a,1.613556449
176,00000057aa,1.832432239
177,00000058a,1.409905968
178,00000058aa,1.375225335
179,00000059a,1.291498521
180,00000059aa,1.507979794
181,0000005Aa,1.508998421
182,0000005Aaa,1.422558031
183,0000005Ba,1.46903048
184,0000005Baa,1.534949615
185,0000005Ca,1.642118444
186,0000005Caa,1.464318952
187,0000005Da,1.384757999
188,0000005Daa,1.498957951
189,0000005Ea,1.420007462
190,0000005Eaa,1.458687763
191,0000005Fa,1.483667477
192,0000005Faa,1.447696203
193,00000060a,1.351135467
194,00000060aa,1.332926016
195,00000061a,1.500456688
196,00000061aa,1.351085176
197,00000062a,1.369554643
198,00000062aa,1.368448889
199,00000063a,1.423933987
200,00000063aa,1.740807315
201,00000064a,1.33076562
202,00000064aa,1.394154691
203,00000065a,1.62174082
204,00000065aa,1.413858546
205,00000066a,1.820114659
206,00000066aa,1.690248329
207,00000067a,1.365029246
208,00000067aa,1.422097812
209,00000068a,1.406823802
210,00000068aa,1.420374931
211,00000069a,1.539553803
212,00000069aa,1.423480643
213,0000006Aa,1.658630589
214,0000006Aaa,1.734739636
215,0000006Ba,1.487842857
216,0000006Baa,1.474963995
217,0000006Ca,1.622628812
218,0000006Caa,1.677940558
219,0000006Da,1.611522395
220,0000006Daa,1.442050259
221,0000006Ea,1.436957423
222,0000006Eaa,1.482811791
223,0000006Fa,1.444441108
224,0000006Faa,1.35463382
225,00000070a,1.389602606
226,00000070aa,1.557759239
227,00000071a,1.979142595
228,00000071aa,1.523666472
229,00000072a,1.478945246
230,00000072aa,1.394367413
231,00000073a,1.767637897
232,00000073aa,1.479390189
233,00000074a,1.29845224
234,00000074aa,1.526829919
235,00000075a,1.630060153
236,00000075aa,1.47982001
237,00000076a,1.701556393
238,00000076aa,1.619520717
239,00000077a,1.793237353
240,00000077aa,1.409378808
241,00000078a,1.699965838
242,00000078aa,1.66935233
243,00000079a,1.647089581
244,00000079aa,1.510591663
245,0000007Aa,1.629502347
246,0000007Aaa,1.493458755
247,0000007Ba,1.732776239
248,0000007Baa,1.693084852
249,0000007Ca,1.566960333
250,0000007Caa,1.367218737
251,0000007Da,1.473014031
252,0000007Daa,1.471139047
253,0000007Ea,1.693578908
254,0000007Eaa,1.79982459
255,0000007Fa,1.571883568
256,0000007Faa,1.530349735
257,00000080a,1.466499869
258,00000080aa,1.501022317
259,00000081a,1.534932097
260,00000081aa,1.442741932
261,00000082a,1.673081963
262,00000082aa,1.433557716
263,00000083a,1.536067097
264,00000083aa,1.27829332
265,00000084a,1.354580909
266,00000084aa,1.518030307
267,00000085a,1.589786531
268,00000085aa,1.511528375
269,00000086a,1.651619281
270,00000086aa,1.647892828
271,00000087a,1.411949779
272,00000087aa,2.222261
273,00000088a,1.423982581
274,00000088aa,1.442906863
275,00000089a,1.411129755
276,00000089aa,1.464614263
277,0000008Aa,1.381996988
278,0000008Aaa,1.588991855
279,0000008Ba,1.711883051
280,0000008Baa,1.334430431
281,0000008Ca,1.561715626
282,0000008Caa,1.566929187
283,0000008Da,1.818768828
284,0000008Daa,1.497448796
