,index,log2_deme,migration_rate,s_driver_birth
2361,00001C47,5,0.25,1.7
2362,0000118E,3,0.75,1.1
2363,00001DE5,5,0.75,1.5
2364,00000EC9,3,0.05,0.2
2365,00002E9F,8,0.1,0.7
2366,00002910,7,0.25,0.9
2367,00002B0A,7,1.0,1.9
2368,0000135E,4,0.01,0.5
2369,00000BE5,2,1.0,1.6
2370,00001479,4,0.05,1.6
2371,0000094F,2,0.1,0.2
2372,00001127,3,0.5,0.1
2373,00001C74,5,0.25,1.2
2374,00001055,3,0.25,0.2
2375,0000226D,6,0.25,1.9
2376,000026AB,7,0.025,1.1
2377,0000222D,6,0.1,0.6
2378,00000DA9,3,0.025,1.1
2379,00000FF0,3,0.25,1.2
2380,000027DF,7,0.1,2.0
2381,00002AC8,7,0.75,0.5
2382,000030FB,8,0.75,0.7
2383,00001C33,5,0.25,1.9
2384,00002DD2,8,0.05,0.7
2385,00000AE0,2,0.5,0.2
2386,00003009,8,0.5,1.1
2387,00001823,4,0.75,0.3
2388,00000BC9,2,1.0,1.9
2389,00002A86,7,0.75,1.2
2390,000015F2,4,0.25,1.9
2391,000020EA,6,0.05,1.8
2392,00003094,8,0.75,1.7
2393,00002EB3,8,0.1,0.5
2394,00002340,6,0.5,1.8
2395,00002883,7,0.1,0.3
2396,000012FA,4,0.01,1.5
2397,00001B8A,5,0.1,1.5
2398,000014FF,4,0.05,0.3
2399,00001C6E,5,0.25,1.3
2400,0000030F,1,0.1,0.2
2401,00002794,7,0.05,0.7
2402,00002E54,8,0.1,1.4
2403,0000266A,7,0.025,1.7
2404,00000611,1,1.0,0.5
2405,000031AA,8,1.0,0.9
2406,00002175,6,0.05,0.4
2407,00001082,3,0.5,1.8
2408,000026A1,7,0.025,1.2
2409,0000315B,8,1.0,1.7
2410,000027A2,7,0.05,0.6
2411,000004F3,1,0.75,1.4
2412,0000069E,2,0.01,1.1
2413,00001AE9,5,0.05,1.2
2414,000028D6,7,0.25,1.5
2415,00003061,8,0.5,0.2
2416,00002992,7,0.5,1.6
2417,00001D32,5,0.5,1.3
2418,00001C6B,5,0.25,1.3
2419,00001620,4,0.25,1.4
2420,00002C73,8,0.01,0.3
2421,0000193B,5,0.01,1.5
2422,00000F73,3,0.1,0.5
2423,0000083B,2,0.05,1.0
2424,000018B7,4,1.0,0.8
2425,0000315C,8,1.0,1.7
2426,00001949,5,0.01,1.3
2427,00000EA3,3,0.05,0.6
2428,000001B8,1,0.05,1.6
2429,000002E6,1,0.1,0.6
2430,0000269C,7,0.025,1.2
2431,00001B2F,5,0.05,0.5
2432,00002323,6,0.25,0.1
2433,000024FC,6,1.0,1.4
2434,00000ED5,3,0.05,0.1
2435,000027F5,7,0.1,1.8
2436,00001246,3,1.0,1.3
2437,00002307,6,0.25,0.4
2438,000011F0,3,0.75,0.1
2439,0000099A,2,0.25,1.5
2440,00000F9E,3,0.1,0.1
2441,00002604,7,0.01,0.7
2442,00000020,1,0.01,1.7
2443,00000AE4,2,0.5,0.2
2444,0000200C,6,0.025,2.0
2445,00002EE2,8,0.25,2.0
2446,00001B7F,5,0.1,1.7
2447,000006AD,2,0.01,1.0
2448,00001617,4,0.25,1.5
2449,00001979,5,0.01,0.8
2450,00001804,4,0.75,0.6
2451,000030D6,8,0.75,1.0
2452,00002825,7,0.1,1.3
2453,00001C80,5,0.25,1.1
2454,0000272C,7,0.05,1.8
2455,000031CB,8,1.0,0.6
2456,000016E3,4,0.5,1.5
2457,000027FD,7,0.1,1.7
2458,000003C0,1,0.25,0.4
2459,00000EC1,3,0.05,0.3
2460,00000536,1,0.75,0.7
2461,00002BB4,7,1.0,0.2
2462,00002C6F,8,0.01,0.3
2463,00001374,4,0.01,0.2
2464,000019C4,5,0.01,0.1
2465,0000078C,2,0.025,0.7
2466,00000B03,2,0.75,1.9
2467,00002823,7,0.1,1.3
2468,00002675,7,0.025,1.6
2469,00001D27,5,0.5,1.4
2470,00000C27,2,1.0,0.9
2471,0000273E,7,0.05,1.6
2472,00000BCE,2,1.0,1.8
2473,000020DD,6,0.05,1.9
2474,00002EA1,8,0.1,0.7
2475,000009AA,2,0.25,1.3
2476,00002430,6,0.75,1.4
2477,00002C18,8,0.01,1.2
2478,0000212F,6,0.05,1.1
2479,00000CEA,3,0.01,1.0
2480,00002475,6,0.75,0.7
2481,00002DAB,8,0.05,1.1
2482,00000E7B,3,0.05,1.0
2483,000005BB,1,1.0,1.4
2484,000026F1,7,0.025,0.4
2485,000006DC,2,0.01,0.5
2486,000013CD,4,0.025,1.4
2487,0000064C,2,0.01,1.9
2488,00001025,3,0.25,0.7
2489,00001303,4,0.01,1.4
2490,00002CA9,8,0.025,1.7
2491,00002008,6,0.025,2.0
2492,000013CA,4,0.025,1.4
2493,00001729,4,0.5,0.8
2494,0000208D,6,0.025,0.7
2495,0000137E,4,0.01,0.1
2496,00000339,1,0.25,1.8
2497,00002A69,7,0.75,1.5
2498,000017D2,4,0.75,1.1
2499,000011D0,3,0.75,0.4
2500,00002DD4,8,0.05,0.7
2501,00002814,7,0.1,1.4
2502,0000297D,7,0.5,1.8
2503,00001F47,6,0.01,2.0
2504,00001BD8,5,0.1,0.8
2505,000010B6,3,0.5,1.3
2506,0000223C,6,0.1,0.4
2507,000013B4,4,0.025,1.6
2508,0000136B,4,0.01,0.3
2509,00000B4E,2,0.75,1.1
2510,0000007D,1,0.01,0.8
2511,00001226,3,1.0,1.6
2512,00002F93,8,0.25,0.3
2513,00001E7E,5,1.0,2.0
2514,0000137F,4,0.01,0.1
2515,00000E2B,3,0.05,1.8
2516,00000A0C,2,0.25,0.3
2517,00001F29,5,1.0,0.3
2518,000028FF,7,0.25,1.1
2519,00000B94,2,0.75,0.4
2520,00002692,7,0.025,1.3
2521,00001626,4,0.25,1.3
2522,00000F74,3,0.1,0.5
2523,00002C41,8,0.01,0.8
2524,000020C7,6,0.025,0.1
2525,00000399,1,0.25,0.8
2526,00000248,1,0.05,0.2
2527,00000813,2,0.05,1.4
2528,00002FD8,8,0.5,1.6
2529,00000670,2,0.01,1.6
2530,00000CFD,3,0.01,0.8
2531,0000287A,7,0.1,0.4
2532,00000A7B,2,0.5,1.2
2533,000026A3,7,0.025,1.1
2534,00002C3C,8,0.01,0.8
2535,000022E6,6,0.25,0.7
2536,00002646,7,0.01,0.1
2537,000010FB,3,0.5,0.6
2538,0000270C,7,0.025,0.1
2539,0000318E,8,1.0,1.2
2540,000012A1,3,1.0,0.4
2541,00002361,6,0.5,1.5
2542,000028C8,7,0.25,1.6
2543,00000904,2,0.1,1.0
2544,00002D91,8,0.05,1.4
2545,00001AA0,5,0.05,1.9
2546,0000055F,1,0.75,0.3
2547,0000193A,5,0.01,1.5
2548,00002885,7,0.1,0.3
2549,0000286E,7,0.1,0.5
2550,0000232B,6,0.5,2.0
2551,00001FC6,6,0.01,0.7
2552,0000047D,1,0.5,0.6
2553,0000263D,7,0.01,0.2
2554,00002318,6,0.25,0.2
2555,00002376,6,0.5,1.3
2556,00001E78,5,1.0,2.0
2557,0000244E,6,0.75,1.1
2558,00001D1A,5,0.5,1.5
2559,00000D34,3,0.01,0.2
2560,0000262C,7,0.01,0.3
2561,00002908,7,0.25,1.0
2562,0000263A,7,0.01,0.2
2563,00000428,1,0.5,1.4
2564,00002325,6,0.25,0.1
2565,000025A6,7,0.01,1.7
2566,000022D7,6,0.25,0.9
2567,0000155B,4,0.1,1.4
2568,00002886,7,0.1,0.3
2569,000021C9,6,0.1,1.6
2570,0000259B,7,0.01,1.8
2571,000023A7,6,0.5,0.8
2572,00000B75,2,0.75,0.7
2573,000004AB,1,0.5,0.1
2574,0000316D,8,1.0,1.5
2575,00001C2C,5,0.25,1.9
2576,00002433,6,0.75,1.4
2577,00002D3F,8,0.025,0.2
2578,00003113,8,0.75,0.4
2579,00001F10,5,1.0,0.5
2580,000026B6,7,0.025,0.9
2581,000019BF,5,0.01,0.1
2582,00001419,4,0.025,0.6
2583,00002DBC,8,0.05,1.0
2584,0000296E,7,0.5,2.0
2585,00001B79,5,0.1,1.7
2586,0000201A,6,0.025,1.9
2587,000007C2,2,0.025,0.2
2588,0000157E,4,0.1,1.0
2589,00001F67,6,0.01,1.7
2590,00002184,6,0.05,0.2
2591,00000972,2,0.25,1.9
2592,0000176B,4,0.5,0.1
2593,000026A5,7,0.025,1.1
2594,00002AA0,7,0.75,0.9
2595,00002E07,8,0.05,0.2
2596,00001D1F,5,0.5,1.5
2597,00001FA7,6,0.01,1.0
2598,00001F92,6,0.01,1.2
2599,000000F5,1,0.025,1.6
2600,00000512,1,0.75,1.1
2601,00002784,7,0.05,0.9
2602,000031C3,8,1.0,0.7
2603,00000DFB,3,0.025,0.3
2604,0000038C,1,0.25,1.0
2605,000006D6,2,0.01,0.5
2606,000002BC,1,0.1,1.0
2607,00000338,1,0.25,1.8
2608,0000004A,1,0.01,1.3
2609,0000060A,1,1.0,0.6
2610,00003037,8,0.5,0.6
2611,00002614,7,0.01,0.6
2612,00000952,2,0.1,0.2
2613,00002208,6,0.1,0.9
2614,00001FD1,6,0.01,0.6
2615,00000B36,2,0.75,1.3
2616,00000245,1,0.05,0.2
2617,0000068F,2,0.01,1.3
2618,00002235,6,0.1,0.5
2619,00001C5E,5,0.25,1.4
2620,00001234,3,1.0,1.4
2621,0000251B,6,1.0,1.1
2622,00002391,6,0.5,1.0
2623,000002DC,1,0.1,0.7
2624,00000C2F,2,1.0,0.9
2625,000010F0,3,0.5,0.7
2626,000008A2,2,0.1,1.9
2627,00000EC0,3,0.05,0.3
2628,00000622,1,1.0,0.3
2629,0000220F,6,0.1,0.9
2630,00002CF6,8,0.025,0.9
2631,00002542,6,1.0,0.7
2632,00000B33,2,0.75,1.4
2633,00000657,2,0.01,1.8
2634,00000F1D,3,0.1,1.4
2635,000022E1,6,0.25,0.8
2636,00002AAD,7,0.75,0.8
2637,000025F4,7,0.01,0.9
2638,00000836,2,0.05,1.0
2639,000030AC,8,0.75,1.4
2640,0000148C,4,0.05,1.4
2641,000017E1,4,0.75,0.9
2642,00000E21,3,0.05,1.9
2643,000004B5,1,0.75,2.0
2644,00001BF4,5,0.1,0.5
2645,0000194B,5,0.01,1.3
2646,0000126B,3,1.0,0.9
2647,0000251D,6,1.0,1.0
2648,000012A5,3,1.0,0.3
2649,0000176D,4,0.5,0.1
2650,00001B3F,5,0.05,0.3
2651,00002CC6,8,0.025,1.4
2652,000025DD,7,0.01,1.1
2653,0000018D,1,0.025,0.1
2654,00000CFE,3,0.01,0.8
2655,00001CCA,5,0.25,0.3
2656,00001811,4,0.75,0.4
2657,00002099,6,0.025,0.6
2658,00000AF3,2,0.75,2.0
2659,00003013,8,0.5,1.0
2660,00001239,3,1.0,1.4
2661,00000CBA,3,0.01,1.5
2662,0000052B,1,0.75,0.8
2663,000011BB,3,0.75,0.7
2664,00001EAC,5,1.0,1.5
2665,00000501,1,0.75,1.2
2666,00002CFB,8,0.025,0.9
2667,0000127B,3,1.0,0.7
2668,00000649,2,0.01,2.0
2669,00002388,6,0.5,1.1
2670,00000B0C,2,0.75,1.8
2671,000030B5,8,0.75,1.4
2672,000015B5,4,0.1,0.5
2673,0000167B,4,0.25,0.5
2674,00002FE5,8,0.5,1.4
2675,00002DFD,8,0.05,0.3
2676,000015B3,4,0.1,0.5
2677,00001AEB,5,0.05,1.1
2678,00001BC1,5,0.1,1.0
2679,00001671,4,0.25,0.6
2680,00002FD9,8,0.5,1.6
2681,00001266,3,1.0,0.9
2682,000007DF,2,0.05,1.9
2683,0000114D,3,0.75,1.8
2684,00002FA3,8,0.25,0.1
2685,00002751,7,0.05,1.4
2686,00002F85,8,0.25,0.4
2687,000004EF,1,0.75,1.4
2688,0000144D,4,0.025,0.1
2689,0000071C,2,0.025,1.8
2690,0000108C,3,0.5,1.7
2691,00000345,1,0.25,1.7
2692,00002338,6,0.5,1.9
2693,00002559,6,1.0,0.4
2694,00002A09,7,0.5,0.4
2695,00001A70,5,0.025,0.4
2696,00002196,6,0.05,0.1
2697,00002959,7,0.25,0.2
2698,00002E50,8,0.1,1.5
2699,00002E99,8,0.1,0.8
2700,00000EED,3,0.1,1.8
2701,00003077,8,0.75,2.0
2702,00002FBA,8,0.5,1.9
2703,000020F2,6,0.05,1.7
2704,00002EA7,8,0.1,0.6
2705,000023F0,6,0.75,2.0
2706,000031D7,8,1.0,0.5
2707,00002C77,8,0.01,0.2
2708,00002C01,8,0.01,1.4
2709,00002F09,8,0.25,1.6
2710,0000164A,4,0.25,1.0
2711,00003191,8,1.0,1.2
2712,00002C8C,8,0.025,2.0
2713,0000259D,7,0.01,1.8
2714,00002C94,8,0.025,1.9
2715,000015C4,4,0.1,0.3
2716,00003121,8,0.75,0.3
2717,0000020C,1,0.05,0.8
2718,00002B45,7,1.0,1.3
2719,00000522,1,0.75,0.9
2720,0000230C,6,0.25,0.3
2721,00001B06,5,0.05,0.9
2722,00001105,3,0.5,0.5
2723,00001DC0,5,0.75,1.9
2724,00002D92,8,0.05,1.4
2725,000026B9,7,0.025,0.9
2726,00001533,4,0.1,1.8
2727,000014BD,4,0.05,1.0
2728,000008A8,2,0.1,1.9
2729,00001FCD,6,0.01,0.6
2730,00001B83,5,0.1,1.6
2731,000008E0,2,0.1,1.3
2732,00002CE5,8,0.025,1.1
2733,00000AB1,2,0.5,0.7
2734,00002722,7,0.05,1.9
2735,00001470,4,0.05,1.7
2736,00000057,1,0.01,1.2
2737,000030EF,8,0.75,0.8
2738,000028A2,7,0.25,2.0
2739,00002C29,8,0.01,1.0
2740,00000756,2,0.025,1.3
2741,000022EC,6,0.25,0.6
2742,00000F4D,3,0.1,0.9
2743,00000B72,2,0.75,0.7
2744,00002DF4,8,0.05,0.4
2745,00002ED1,8,0.1,0.2
2746,00001F74,6,0.01,1.5
2747,0000209A,6,0.025,0.6
2748,000004DC,1,0.75,1.6
2749,000001EB,1,0.05,1.1
2750,00002E69,8,0.1,1.2
2751,0000243E,6,0.75,1.3
2752,00001DD7,5,0.75,1.7
2753,00002B79,7,1.0,0.8
2754,0000041B,1,0.5,1.5
2755,00002778,7,0.05,1.0
2756,00000CF5,3,0.01,0.9
2757,0000141B,4,0.025,0.6
2758,00000B9B,2,0.75,0.3
2759,00001754,4,0.5,0.3
2760,00001622,4,0.25,1.4
2761,00001529,4,0.1,1.9
2762,000021E1,6,0.1,1.3
2763,00002DB3,8,0.05,1.1
2764,00001AB8,5,0.05,1.6
2765,00000FC3,3,0.25,1.7
2766,00001833,4,0.75,0.1
2767,0000118F,3,0.75,1.1
2768,000023BD,6,0.5,0.6
2769,00002B44,7,1.0,1.3
2770,00000AE7,2,0.5,0.1
2771,00001855,4,1.0,1.8
2772,00002BE3,8,0.01,1.7
2773,000028CF,7,0.25,1.6
2774,00002281,6,0.25,1.7
2775,00000DCB,3,0.025,0.7
2776,00001889,4,1.0,1.2
2777,00000D01,3,0.01,0.8
2778,00001049,3,0.25,0.4
2779,00002FF9,8,0.5,1.2
2780,000007F8,2,0.05,1.6
2781,000028F3,7,0.25,1.2
2782,00001545,4,0.1,1.6
2783,000016C9,4,0.5,1.7
2784,00002603,7,0.01,0.7
2785,00000FC4,3,0.25,1.7
2786,00002E8F,8,0.1,0.9
2787,0000128D,3,1.0,0.6
2788,00000F40,3,0.1,1.0
2789,00000F55,3,0.1,0.8
2790,000031BA,8,1.0,0.7
2791,00001476,4,0.05,1.7
2792,00001D6A,5,0.5,0.7
2793,00001EC1,5,1.0,1.3
2794,00001893,4,1.0,1.1
2795,00001520,4,0.1,2.0
2796,000022B5,6,0.25,1.2
2797,00001743,4,0.5,0.5
2798,00001BA2,5,0.1,1.3
2799,00002BB0,7,1.0,0.2
2800,00002241,6,0.1,0.4
2801,00001FAD,6,0.01,1.0
2802,00000220,1,0.05,0.6
2803,00001EF2,5,1.0,0.8
2804,0000149A,4,0.05,1.3
2805,0000205D,6,0.025,1.2
2806,00000537,1,0.75,0.7
2807,000001EA,1,0.05,1.1
2808,00001F22,5,1.0,0.3
2809,0000281A,7,0.1,1.4
2810,00002F74,8,0.25,0.6
2811,0000226A,6,0.25,1.9
2812,0000195D,5,0.01,1.1
2813,000016AE,4,0.5,2.0
2814,00001370,4,0.01,0.3
2815,0000080C,2,0.05,1.4
2816,00002969,7,0.5,2.0
2817,0000089D,2,0.1,2.0
2818,000020BE,6,0.025,0.2
2819,00002399,6,0.5,0.9
2820,00000515,1,0.75,1.0
2821,00000FA3,3,0.25,2.0
2822,00001A85,5,0.025,0.2
2823,00002605,7,0.01,0.7
2824,00000D09,3,0.01,0.7
2825,00001423,4,0.025,0.5
2826,00002BAD,7,1.0,0.2
2827,0000271D,7,0.05,1.9
2828,00000CC8,3,0.01,1.3
2829,00000BDF,2,1.0,1.7
2830,00000789,2,0.025,0.8
2831,00001709,4,0.5,1.1
2832,000029CB,7,0.5,1.1
2833,00000B87,2,0.75,0.5
2834,0000015C,1,0.025,0.6
2835,0000114C,3,0.75,1.8
2836,000016B8,4,0.5,1.9
2837,00000506,1,0.75,1.2
2838,00001006,3,0.25,1.0
2839,00001EC3,5,1.0,1.3
2840,000025A2,7,0.01,1.7
2841,000016B5,4,0.5,1.9
2842,00002C82,8,0.01,0.1
2843,00001BDB,5,0.1,0.7
2844,000013E0,4,0.025,1.2
2845,00000940,2,0.1,0.4
2846,000005F9,1,1.0,0.8
2847,00001DFF,5,0.75,1.3
2848,0000265F,7,0.025,1.8
2849,00002B7E,7,1.0,0.7
2850,00001EEC,5,1.0,0.9
2851,00000B0E,2,0.75,1.7
2852,000005E5,1,1.0,1.0
2853,000020BC,6,0.025,0.2
2854,000025C4,7,0.01,1.4
2855,00000FE6,3,0.25,1.3
2856,00000ECB,3,0.05,0.2
2857,000007D0,2,0.05,2.0
2858,0000131F,4,0.01,1.1
2859,0000141A,4,0.025,0.6
2860,000017A2,4,0.75,1.5
2861,0000111D,3,0.5,0.2
2862,000000CC,1,0.025,2.0
2863,00001A1D,5,0.025,1.2
2864,00002AE4,7,0.75,0.2
2865,00000F33,3,0.1,1.1
2866,00000699,2,0.01,1.2
2867,00002BDB,8,0.01,1.8
2868,00000B57,2,0.75,1.0
2869,00000426,1,0.5,1.4
2870,00002ED3,8,0.1,0.2
2871,000006A2,2,0.01,1.1
2872,000000E8,1,0.025,1.7
2873,000022E7,6,0.25,0.7
2874,000001DC,1,0.05,1.3
2875,000013B9,4,0.025,1.6
2876,00002B62,7,1.0,1.0
2877,000018E6,4,1.0,0.3
2878,000012BC,3,1.0,0.1
2879,00002611,7,0.01,0.6
2880,00000FFD,3,0.25,1.1
2881,00002263,6,0.25,2.0
2882,000003D4,1,0.25,0.2
2883,00000AE8,2,0.5,0.1
2884,0000159C,4,0.1,0.7
2885,000029CF,7,0.5,1.0
2886,00000DD6,3,0.025,0.6
2887,00001BD2,5,0.1,0.8
2888,00000127,1,0.025,1.1
2889,000026EF,7,0.025,0.4
2890,00002907,7,0.25,1.0
2891,000028C9,7,0.25,1.6
2892,000007FF,2,0.05,1.6
2893,000019A4,5,0.01,0.4
2894,00002CA7,8,0.025,1.7
2895,00001BDC,5,0.1,0.7
2896,00000AAF,2,0.5,0.7
2897,00001D3E,5,0.5,1.2
2898,00000479,1,0.5,0.6
2899,00001CC8,5,0.25,0.4
2900,00001212,3,1.0,1.8
2901,00000031,1,0.01,1.6
2902,00000809,2,0.05,1.5
2903,00001783,4,0.75,1.9
2904,00000A20,2,0.25,0.1
2905,00001E7A,5,1.0,2.0
2906,00001283,3,1.0,0.7
2907,00001FAB,6,0.01,1.0
2908,00003059,8,0.5,0.3
2909,0000154B,4,0.1,1.5
2910,00002345,6,0.5,1.8
2911,00002947,7,0.25,0.4
2912,00001081,3,0.5,1.8
2913,00001B12,5,0.05,0.7
2914,00001B24,5,0.05,0.6
2915,00001051,3,0.25,0.3
2916,00001407,4,0.025,0.8
2917,00002AC7,7,0.75,0.5
2918,00001778,4,0.75,2.0
2919,00002213,6,0.1,0.8
2920,00001D5B,5,0.5,0.9
2921,000028CD,7,0.25,1.6
2922,00001FC8,6,0.01,0.7
2923,000006C6,2,0.01,0.7
2924,0000038A,1,0.25,1.0
2925,0000133E,4,0.01,0.8
2926,00001873,4,1.0,1.5
2927,00000A15,2,0.25,0.2
2928,00002271,6,0.25,1.9
2929,000001CA,1,0.05,1.5
2930,00002415,6,0.75,1.7
2931,00001CE4,5,0.25,0.1
2932,000008A4,2,0.1,1.9
2933,00000927,2,0.1,0.6
2934,00002AB8,7,0.75,0.7
2935,00000743,2,0.025,1.5
2936,00000298,1,0.1,1.4
2937,0000281E,7,0.1,1.3
2938,00002BFD,8,0.01,1.4
2939,0000225C,6,0.1,0.1
2940,0000034E,1,0.25,1.6
2941,00000119,1,0.025,1.2
2942,000003D9,1,0.25,0.2
2943,00002565,6,1.0,0.3
2944,0000120C,3,1.0,1.8
2945,00002CE2,8,0.025,1.1
2946,00002642,7,0.01,0.1
2947,000021C2,6,0.1,1.6
2948,00002EEA,8,0.25,1.9
2949,00001301,4,0.01,1.4
2950,00002E56,8,0.1,1.4
2951,00000FD2,3,0.25,1.5
2952,0000152F,4,0.1,1.8
2953,000024B9,6,1.0,2.0
2954,00002F77,8,0.25,0.5
2955,000017A9,4,0.75,1.5
2956,000018DA,4,1.0,0.4
2957,0000113A,3,0.75,1.9
2958,0000177D,4,0.75,1.9
2959,000006B6,2,0.01,0.9
2960,000020B4,6,0.025,0.3
2961,00001416,4,0.025,0.6
2962,0000288F,7,0.1,0.2
2963,00001B8B,5,0.1,1.5
2964,00000449,1,0.5,1.1
2965,00000F7C,3,0.1,0.4
2966,000028C2,7,0.25,1.7
2967,00000A21,2,0.25,0.1
2968,0000234D,6,0.5,1.7
2969,00001FF8,6,0.01,0.2
2970,000023D3,6,0.5,0.3
2971,00002FF0,8,0.5,1.3
2972,00002E9B,8,0.1,0.7
2973,0000072D,2,0.025,1.7
2974,00002B63,7,1.0,1.0
2975,00000832,2,0.05,1.1
2976,00002CF2,8,0.025,1.0
2977,00002EB9,8,0.1,0.4
2978,00002B24,7,1.0,1.6
2979,000026C0,7,0.025,0.8
2980,00002209,6,0.1,0.9
2981,000025EB,7,0.01,1.0
2982,00001517,4,0.05,0.1
2983,000026ED,7,0.025,0.4
2984,00002C9C,8,0.025,1.8
2985,000002ED,1,0.1,0.6
2986,000015D3,4,0.1,0.2
2987,0000313F,8,1.0,2.0
2988,00001062,3,0.25,0.1
2989,00002820,7,0.1,1.3
2990,0000043D,1,0.5,1.2
2991,00001D4C,5,0.5,1.0
2992,00000D85,3,0.025,1.4
2993,0000223E,6,0.1,0.4
2994,00000279,1,0.1,1.7
2995,00000C25,2,1.0,1.0
2996,00000602,1,1.0,0.7
2997,000004E4,1,0.75,1.5
2998,000015C2,4,0.1,0.3
2999,0000081F,2,0.05,1.3
3000,000022A4,6,0.25,1.4
3001,000006C2,2,0.01,0.7
3002,00000990,2,0.25,1.6
3003,00001101,3,0.5,0.5
3004,00000A60,2,0.5,1.5
3005,00000C40,2,1.0,0.7
3006,00001050,3,0.25,0.3
3007,00001B10,5,0.05,0.8
3008,000000A4,1,0.01,0.4
3009,000017C0,4,0.75,1.2
3010,0000124C,3,1.0,1.2
3011,0000150F,4,0.05,0.1
3012,00001548,4,0.1,1.6
3013,0000121B,3,1.0,1.7
3014,0000224D,6,0.1,0.2
3015,00000DFC,3,0.025,0.2
3016,00001705,4,0.5,1.1
3017,00001453,4,0.05,2.0
3018,0000109D,3,0.5,1.5
3019,0000185C,4,1.0,1.7
3020,000008AD,2,0.1,1.8
3021,000021C7,6,0.1,1.6
3022,0000201F,6,0.025,1.8
3023,00002898,7,0.1,0.1
3024,00002A80,7,0.75,1.2
3025,00001CD6,5,0.25,0.2
3026,00000304,1,0.1,0.3
3027,000014B8,4,0.05,1.0
3028,000014C6,4,0.05,0.9
3029,000029C1,7,0.5,1.2
3030,0000040D,1,0.5,1.7
3031,00000F97,3,0.1,0.1
3032,0000181B,4,0.75,0.3
3033,000008A6,2,0.1,1.9
3034,00003130,8,0.75,0.1
3035,00001150,3,0.75,1.7
3036,000026E1,7,0.025,0.5
3037,00001BBE,5,0.1,1.0
3038,000016E0,4,0.5,1.5
3039,00002759,7,0.05,1.3
3040,00002551,6,1.0,0.5
3041,0000274A,7,0.05,1.5
3042,00002BD5,8,0.01,1.8
3043,00002D01,8,0.025,0.8
3044,0000261E,7,0.01,0.5
3045,00001820,4,0.75,0.3
3046,00002B2C,7,1.0,1.5
3047,00000159,1,0.025,0.6
3048,00003148,8,1.0,1.9
3049,000002D0,1,0.1,0.8
3050,00001A26,5,0.025,1.1
3051,0000241F,6,0.75,1.6
3052,00002092,6,0.025,0.7
3053,0000232D,6,0.5,2.0
3054,00000F20,3,0.1,1.3
3055,00000377,1,0.25,1.2
3056,00001146,3,0.75,1.8
3057,00000F28,3,0.1,1.2
3058,00001B7E,5,0.1,1.7
3059,000030C5,8,0.75,1.2
3060,000021F6,6,0.1,1.1
3061,00000866,2,0.05,0.5
3062,000016F7,4,0.5,1.3
3063,00002837,7,0.1,1.1
3064,000023D6,6,0.5,0.3
3065,0000087F,2,0.05,0.3
3066,0000274C,7,0.05,1.4
3067,000010A7,3,0.5,1.4
3068,000020FF,6,0.05,1.6
3069,00001AD6,5,0.05,1.3
3070,00000767,2,0.025,1.1
3071,0000232C,6,0.5,2.0
3072,000021E4,6,0.1,1.3
3073,00001FA9,6,0.01,1.0
3074,00001264,3,1.0,1.0
3075,000017CA,4,0.75,1.1
3076,000024EA,6,1.0,1.5
3077,0000230B,6,0.25,0.3
3078,000005DA,1,1.0,1.1
3079,000014EC,4,0.05,0.5
3080,0000258B,7,0.01,1.9
3081,0000140C,4,0.025,0.7
3082,00000A25,2,0.25,0.1
3083,00000FF8,3,0.25,1.2
3084,00000074,1,0.01,0.9
3085,00000724,2,0.025,1.8
3086,000030E9,8,0.75,0.8
3087,00000E7C,3,0.05,1.0
3088,00000791,2,0.025,0.7
3089,000012BA,3,1.0,0.1
3090,00002409,6,0.75,1.8
3091,0000089F,2,0.1,2.0
3092,000027FB,7,0.1,1.7
3093,00002DF2,8,0.05,0.4
3094,000022D6,6,0.25,0.9
3095,00001EDD,5,1.0,1.0
3096,00000EE2,3,0.1,1.9
3097,00002724,7,0.05,1.8
3098,000021B6,6,0.1,1.7
3099,000012ED,4,0.01,1.6
3100,000013DF,4,0.025,1.2
3101,000020FB,6,0.05,1.6
3102,00002AAA,7,0.75,0.8
3103,00000B8A,2,0.75,0.5
3104,0000063A,1,1.0,0.1
3105,00000682,2,0.01,1.4
3106,00002585,7,0.01,2.0
3107,0000233C,6,0.5,1.8
3108,00002842,7,0.1,1.0
3109,00001F35,5,1.0,0.2
3110,0000114A,3,0.75,1.8
3111,000002C2,1,0.1,1.0
3112,00002733,7,0.05,1.7
3113,000017CE,4,0.75,1.1
3114,000029C4,7,0.5,1.1
3115,00001396,4,0.025,1.9
3116,000030E1,8,0.75,0.9
3117,000023A6,6,0.5,0.8
3118,00000762,2,0.025,1.1
3119,00001BCF,5,0.1,0.9
3120,00003064,8,0.5,0.2
3121,00001E72,5,0.75,0.1
3122,0000044F,1,0.5,1.0
3123,00000363,1,0.25,1.4
3124,00000486,1,0.5,0.5
3125,00001BD5,5,0.1,0.8
3126,00002AD2,7,0.75,0.4
3127,00002BB6,7,1.0,0.1
3128,00002C1A,8,0.01,1.1
3129,00001D81,5,0.5,0.5
3130,00000D6C,3,0.025,1.7
3131,00000F7D,3,0.1,0.4
3132,00000CFC,3,0.01,0.8
3133,00002439,6,0.75,1.3
3134,00001B1A,5,0.05,0.7
3135,00001896,4,1.0,1.1
3136,000004EB,1,0.75,1.5
3137,0000124E,3,1.0,1.2
3138,00000862,2,0.05,0.6
