Speed ratio,2D,3D
1.49342105263158,0.0755260381412074+2.25001138096534e-13i,0.0205989871800297
2.01973684210526,0.190924608707998+2.2228365948773e-13i,0.0827133300807124
2.51973684210526,0.286079447767826+4.60078846780238e-13i,0.151774250968271
3.01973684210526,0.364197466126198+5.37643126738238e-13i,0.218145640029089
3.5,0.425856539075776+8.5089108747827e-13i,0.275992002528526
3.97368421052632,0.476538503123747+5.41787981701624e-13i,0.326876444829408
4.45394736842105,0.51984587643346+7.03164994886498e-13i,0.372615879417217
4.91447368421053,0.555307108263877+8.31859552430732e-13i,0.411557412562975
5.39473684210526,0.587215371391126+1.11748430841377e-12i,0.447707403551732
5.88157894736842,0.615275346696377+8.83203672375656e-13i,0.480344700193314
6.33552631578947,0.63825022204008+1.02513060392223e-12i,0.507645483786099
6.78947368421053,0.658664120533204+1.20066178600711e-12i,0.532332357171397
7.29605263157895,0.678909050614001+1.04581211131032e-12i,0.557208009635316
7.73026315789474,0.694456914078094+7.64708985545691e-13i,0.576574676114668
8.17763157894737,0.708985743906224+9.38267899697385e-13i,0.594875874670425
8.61842105263158,0.722017296547147+7.33944922025079e-13i,0.611457066146946
9.14473684210526,0.73613314312045+8.54620188716341e-13i,0.629593536315291
9.58552631578947,0.746901450425666+1.15808488554394e-12i,0.64355086236196
10.0197368421053,0.756685878189695+1.07548781634465e-12i,0.656323771701706
