,id,...1.x,x070,x075,x080,x085,x090,x095,x099,x100,more_than_one_mutant,first_mutant_init_time,pop_radius_at_first_mut_init,mu_driver_birth,s_driver_birth,birth_rate_end_mean,sr1,...1.y,sweep_complete_time,sweep_complete_size,sweep_complete_ID,sim_length,sim_size
1,00000000,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,215.127594,25.84210017,1e-05,2,6.099154,5.665726667,1,233.766922,10903,3,369.75,1e+06
2,00000000a,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,339.777222,41.97434002,1e-05,0.05,1.268928694,0.29880966,501,0,0,0,2000,522081
3,00000000aa,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,494.784271,60.23896333,1e-05,0.05,1.168696921,0.187441023,1,0,0,0,2000,457415
4,00000000d,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,577.535339,74.33826696,1e-05,0.075,1.244565266,0.271739184,1,0,0,0,2000,523430
5,00000001,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,209.097885,24.4301256,1e-05,2,4.132171,3.48019,2,239.501862,12013,2,453.921143,1e+06
6,00000001a,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,534.318481,69.41366398,1e-05,0.05,1.209956609,0.233285121,502,0,0,0,2000,525210
7,00000001aa,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,458.234528,60.06433426,1e-05,0.05,1.173370776,0.192634196,2,0,0,0,2000,348497
8,00000001d,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,455.889709,55.80345524,1e-05,0.075,1.573797,0.637552222,2,759.526794,64188,27,1483.537354,1e+06
9,00000002,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,166.678482,21.52810243,1e-05,2,2.162271328,1.291412587,3,0,0,0,777.978699,1e+06
10,00000002a,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,457.268799,60.95597839,1e-05,0.05,1.131194962,0.14577218,503,0,0,0,2000,378235
11,00000002aa,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,583.589844,80.20228289,1e-05,0.05,1.166208722,0.184676358,3,0,0,0,2000,428631
12,00000002d,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,406.695343,52.46053065,1e-05,0.075,1.21551261,0.239458456,3,0,0,0,2000,760306
