,index,mu_driver_birth,s_driver_birth
186,0000005Cbb,1e-05,0.05
187,0000005Db,1e-05,0.05
188,0000005Dbb,1e-05,0.05
189,0000005Eb,1e-05,0.05
190,0000005Ebb,1e-05,0.05
191,0000005Fb,1e-05,0.05
192,0000005Fbb,1e-05,0.05
193,00000060b,1e-05,0.05
194,00000060bb,1e-05,0.05
195,00000061b,1e-05,0.05
196,00000061bb,1e-05,0.05
197,00000062b,1e-05,0.05
198,00000062bb,1e-05,0.05
199,00000063b,1e-05,0.05
200,00000063bb,1e-05,0.05
201,00000064b,1e-05,0.05
202,00000064bb,1e-05,0.05
203,00000065b,1e-05,0.05
204,00000065bb,1e-05,0.05
205,00000066b,1e-05,0.05
206,00000066bb,1e-05,0.05
207,00000067b,1e-05,0.05
208,00000067bb,1e-05,0.05
209,00000068b,1e-05,0.05
210,00000068bb,1e-05,0.05
211,00000069b,1e-05,0.05
212,00000069bb,1e-05,0.05
213,0000006bb,1e-05,0.05
214,0000006bbb,1e-05,0.05
215,0000006Bb,1e-05,0.05
216,0000006Bbb,1e-05,0.05
217,0000006Cb,1e-05,0.05
218,0000006Cbb,1e-05,0.05
219,0000006Db,1e-05,0.05
220,0000006Dbb,1e-05,0.05
221,0000006Eb,1e-05,0.05
222,0000006Ebb,1e-05,0.05
223,0000006Fb,1e-05,0.05
224,0000006Fbb,1e-05,0.05
225,00000070b,1e-05,0.05
226,00000070bb,1e-05,0.05
227,00000071b,1e-05,0.05
228,00000071bb,1e-05,0.05
229,00000072b,1e-05,0.05
230,00000072bb,1e-05,0.05
231,00000073b,1e-05,0.05
232,00000073bb,1e-05,0.05
233,00000074b,1e-05,0.05
234,00000074bb,1e-05,0.05
235,00000075b,1e-05,0.05
236,00000075bb,1e-05,0.05
237,00000076b,1e-05,0.05
238,00000076bb,1e-05,0.05
239,00000077b,1e-05,0.05
240,00000077bb,1e-05,0.05
241,00000078b,1e-05,0.05
242,00000078bb,1e-05,0.05
243,00000079b,1e-05,0.05
244,00000079bb,1e-05,0.05
245,0000007bb,1e-05,0.05
246,0000007bbb,1e-05,0.05
247,0000007Bb,1e-05,0.05
248,0000007Bbb,1e-05,0.05
249,0000007Cb,1e-05,0.05
250,0000007Cbb,1e-05,0.05
