,index,birth_rate_end_mean
227,00000071a,1.407924867
228,00000071aa,1.336877892
229,00000072a,1.239506713
230,00000072aa,1.327499873
231,00000073a,1.259057637
232,00000073aa,1.321877258
233,00000074a,1.425262751
234,00000074aa,1.345732689
235,00000075a,1.263725652
236,00000075aa,1.313259743
237,00000076a,1.396634149
238,00000076aa,1.270406149
239,00000077a,1.347951209
240,00000077aa,1.377753251
241,00000078a,1.354987833
242,00000078aa,1.283245601
243,00000079a,1.27932973
244,00000079aa,1.391318135
245,0000007Aa,1.382055298
246,0000007Aaa,1.342002978
247,0000007Ba,1.464795366
248,0000007Baa,1.339280368
249,0000007Ca,1.47141638
250,0000007Caa,1.339397684
251,0000007Da,1.393795991
252,0000007Daa,1.317929144
253,0000007Ea,1.312463339
254,0000007Eaa,1.574363833
255,0000007Fa,1.335166523
256,0000007Faa,1.348625507
257,00000080a,1.280283339
258,00000080aa,1.508980818
259,00000081a,1.379470226
260,00000081aa,1.409427059
261,00000082a,1.218995598
262,00000082aa,1.385815703
263,00000083a,1.42538983
264,00000083aa,1.337876
265,00000084a,1.323433936
266,00000084aa,1.287702137
267,00000085a,1.370107192
268,00000085aa,1.264922429
269,00000086a,1.475281902
270,00000086aa,1.359821042
271,00000087a,1.702425138
272,00000087aa,1.191307606
273,00000088a,1.294470467
274,00000088aa,1.281962696
275,00000089a,1.339788052
276,00000089aa,1.302075196
277,0000008Aa,1.302731937
278,0000008Aaa,1.31492212
279,0000008Ba,1.324823602
280,0000008Baa,1.424203012
281,0000008Ca,1.39700171
282,0000008Caa,1.546255583
283,0000008Da,1.304554057
284,0000008Daa,1.470509453
285,0000008Ea,1.307677963
286,0000008Eaa,1.400280407
287,0000008Fa,1.439854775
288,0000008Faa,1.36184264
289,00000090a,1.35701933
290,00000090aa,1.326783339
291,00000091a,1.428884988
292,00000091aa,1.406150618
293,00000092a,1.30572126
294,00000092aa,1.201607692
295,00000093a,1.406588472
296,00000093aa,1.427404367
297,00000094a,1.293703797
298,00000094aa,1.471708247
299,00000095a,1.399568087
300,00000095aa,1.23991658
301,00000096a,1.414145194
302,00000096aa,1.430715908
303,00000097a,1.299944283
304,00000097aa,1.41110141
305,00000098a,1.22634574
306,00000098aa,1.352831894
307,00000099a,1.520262766
308,00000099aa,1.408521016
309,0000009Aa,1.249327636
310,0000009Aaa,1.323759236
311,0000009Ba,1.242702646
312,0000009Baa,1.340770873
313,0000009Ca,1.290881909
314,0000009Caa,1.384947204
315,0000009Da,1.60273216
316,0000009Daa,1.394767617
317,0000009Ea,1.230490128
318,0000009Eaa,1.261848782
319,0000009Fa,1.430518931
320,0000009Faa,1.205844346
321,000000A0a,1.619583431
322,000000A0aa,1.376010704
323,000000A1a,1.272959803
324,000000A1aa,1.360560176
325,000000A2a,1.488576664
326,000000A2aa,1.338342462
327,000000A3a,1.508636911
328,000000A3aa,1.295206723
329,000000A4a,1.487131826
330,000000A4aa,1.38168182
331,000000A5a,1.267725556
332,000000A5aa,1.3600438
333,000000A6a,1.330981733
334,000000A6aa,1.249539525
335,000000A7a,1.37377928
336,000000A7aa,1.382856123
337,000000A8a,1.247363587
338,000000A8aa,1.451387363
339,000000A9a,1.34128403
340,000000A9aa,1.630014
341,000000AAa,1.534909856
342,000000AAaa,1.23902238
343,000000ABa,1.427877763
344,000000ABaa,1.241411071
345,000000ACa,1.367512933
346,000000ACaa,1.324481861
347,000000ADa,1.287941456
348,000000ADaa,1.384792504
349,000000AEa,1.292963943
350,000000AEaa,1.280461957
351,000000AFa,1.477975278
352,000000AFaa,1.325200795
353,000000B0a,1.367812922
354,000000B0aa,1.535774029
355,000000B1a,1.514585611
356,000000B1aa,1.279567455
357,000000B2a,1.26273187
358,000000B2aa,1.253088215
359,000000B3a,1.273614985
360,000000B3aa,1.313195963
361,000000B4a,1.33848578
362,000000B4aa,1.370278125
363,000000B5a,1.290191873
364,000000B5aa,1.282288071
365,000000B6a,1.44717361
366,000000B6aa,1.417412222
367,000000B7a,1.176713304
368,000000B7aa,1.365317859
369,000000B8a,1.432929648
370,000000B8aa,1.488136455
371,000000B9a,1.581908416
372,000000B9aa,1.273960104
373,000000BAa,1.44625
374,000000BAaa,1.379522251
375,000000BBa,1.227442736
376,000000BBaa,1.260920154
377,000000BCa,1.296304715
378,000000BCaa,1.277420836
379,000000BDa,1.397610026
380,000000BDaa,1.305282531
381,000000BEa,1.443937967
382,000000BEaa,1.335145384
383,000000BFa,1.430795893
384,000000BFaa,1.373595926
385,000000C0a,1.259281409
386,000000C0aa,1.429616789
387,000000C1a,1.462569533
388,000000C1aa,1.446633668
389,000000C2a,1.418283291
390,000000C2aa,1.409903804
391,000000C3a,1.400132444
392,000000C3aa,1.241241016
393,000000C4a,1.365024632
394,000000C4aa,1.365627115
395,000000C5a,1.542198484
396,000000C5aa,1.346776924
397,000000C6a,1.477093089
398,000000C6aa,1.270584808
399,000000C7a,1.283455156
400,000000C7aa,1.371527774
401,000000C8a,1.681028281
402,000000C8aa,1.354326122
403,000000C9a,1.38360176
404,000000C9aa,1.616187217
405,000000CAa,1.332636192
406,000000CAaa,1.341933894
407,000000CBa,1.503975103
408,000000CBaa,1.458769071
409,000000CCa,1.200469433
410,000000CCaa,1.329838886
411,000000CDa,1.322312896
412,000000CDaa,1.360280803
413,000000CEa,1.330591091
414,000000CEaa,1.203203631
415,000000CFa,1.247682151
416,000000CFaa,1.342943088
417,000000D0a,1.640481397
418,000000D0aa,1.339614911
419,000000D1a,1.322582059
420,000000D1aa,1.337400595
421,000000D2a,1.311843295
422,000000D2aa,1.382428411
423,000000D3a,1.273863372
424,000000D3aa,1.300818983
425,000000D4a,1.346570386
426,000000D4aa,1.219750435
427,000000D5a,1.651723295
428,000000D5aa,1.306301016
429,000000D6a,1.52936286
430,000000D6aa,1.316764279
431,000000D7a,1.299517117
432,000000D7aa,1.340486091
433,000000D8a,1.310815464
434,000000D8aa,1.303080675
435,000000D9a,1.495797873
436,000000D9aa,1.181346
437,000000DAa,1.386690394
438,000000DAaa,1.336087414
439,000000DBa,1.343796408
440,000000DBaa,1.485940892
441,000000DCa,1.349074448
442,000000DCaa,1.336849959
443,000000DDa,1.351432003
444,000000DDaa,1.406670463
445,000000DEa,1.473663811
446,000000DEaa,1.398340126
447,000000DFa,1.355948745
448,000000DFaa,1.292213868
449,000000E0a,1.34709447
450,000000E0aa,1.438424339
451,000000E1a,1.287256607
452,000000E1aa,1.54935747
453,000000E2a,1.294285894
454,000000E2aa,1.317898985
455,000000E3a,1.35102782
456,000000E3aa,1.288800631
457,000000E4a,1.39947846
458,000000E4aa,1.359323047
459,000000E5a,1.398638956
460,000000E5aa,1.289515496
461,000000E6a,1.463689966
462,000000E6aa,1.296986266
463,000000E7a,1.285250289
464,000000E7aa,1.356513592
465,000000E8a,1.496334292
466,000000E8aa,1.566828025
467,000000E9a,1.324729423
468,000000E9aa,1.472100982
469,000000EAa,1.386026837
470,000000EAaa,1.243211427
471,000000EBa,1.37355901
472,000000EBaa,1.369258729
473,000000ECa,1.335478153
474,000000ECaa,1.4812033
475,000000EDa,1.341343809
476,000000EDaa,1.251185685
477,000000EEa,1.341356886
478,000000EEaa,1.264831222
479,000000EFa,1.401349827
480,000000EFaa,1.418873602
481,000000F0a,1.395307404
482,000000F0aa,1.377969481
483,000000F1a,1.362170049
484,000000F1aa,1.272925704
485,000000F2a,1.330206027
486,000000F2aa,1.266309898
487,000000F3a,1.264817718
488,000000F3aa,1.350492504
489,000000F4a,1.671328575
490,000000F4aa,1.422094179
491,000000F5a,1.250636561
492,000000F5aa,1.231065909
493,000000F6a,1.381748388
494,000000F6aa,1.331224424
495,000000F7a,1.349212504
496,000000F7aa,1.336295667
497,000000F8a,1.375780514
498,000000F8aa,1.345890298
499,000000F9a,1.414312
500,000000F9aa,1.390296002
501,000000FAa,1.267736708
502,000000FAaa,1.575561612
503,000000FBa,1.226385112
504,000000FBaa,1.344883011
505,000000FCa,1.363706696
506,000000FCaa,1.220367478
507,000000FDa,1.565972542
508,000000FDaa,1.761240787
509,000000FEa,1.334761851
510,000000FEaa,1.528619234
511,000000FFa,1.247388888
512,000000FFaa,1.409148558
513,00000100a,1.173319554
514,00000100aa,1.511601055
515,00000101a,1.248759644
516,00000101aa,1.306874175
517,00000102a,1.439403132
518,00000102aa,1.281726301
519,00000103a,1.397370147
520,00000103aa,1.297704503
521,00000104a,1.372972032
522,00000104aa,1.347124654
523,00000105a,1.354052527
524,00000105aa,1.238859625
525,00000106a,1.444374656
526,00000106aa,1.525112431
527,00000107a,1.488742114
528,00000107aa,1.438922024
529,00000108a,1.220102451
530,00000108aa,1.59396294
531,00000109a,1.321425272
532,00000109aa,1.383622907
533,0000010Aa,1.303939714
534,0000010Aaa,1.276874333
535,0000010Ba,1.301612944
536,0000010Baa,1.388906416
537,0000010Ca,1.332504328
538,0000010Caa,1.334369207
539,0000010Da,1.321899016
540,0000010Daa,1.408073201
541,0000010Ea,1.241696006
542,0000010Eaa,1.323701318
543,0000010Fa,1.406294885
544,0000010Faa,1.264827401
545,00000110a,1.357926379
546,00000110aa,1.715778198
547,00000111a,1.262475482
548,00000111aa,1.683136489
549,00000112a,1.466270344
550,00000112aa,1.55309637
551,00000113a,1.278652135
552,00000113aa,1.406514558
553,00000114a,1.273346013
554,00000114aa,1.456038755
555,00000115a,1.435396081
556,00000115aa,1.321405189
557,00000116a,1.196280146
558,00000116aa,1.324891108
559,00000117a,1.299707177
560,00000117aa,1.352793554
561,00000118a,1.304626132
562,00000118aa,1.286542445
563,00000119a,1.272619322
564,00000119aa,1.249665227
565,0000011Aa,1.496921487
566,0000011Aaa,1.342846508
567,0000011Ba,1.400943542
568,0000011Baa,1.294311703
569,0000011Ca,1.306434309
570,0000011Caa,1.29674785
571,0000011Da,1.258401479
572,0000011Daa,1.297945075
573,0000011Ea,1.352956085
574,0000011Eaa,1.437474856
575,0000011Fa,1.261408766
576,0000011Faa,1.310697131
577,00000120a,1.290435737
578,00000120aa,1.338409933
579,00000121a,1.312331462
580,00000121aa,1.330252293
581,00000122a,1.278367302
582,00000122aa,1.219819721
583,00000123a,1.464545164
584,00000123aa,1.392880048
585,00000124a,1.187163535
586,00000124aa,1.803393607
587,00000125a,1.356268134
588,00000125aa,1.624359276
589,00000126a,1.373065615
590,00000126aa,1.318892339
591,00000127a,1.326069855
592,00000127aa,1.241018202
593,00000128a,1.367938147
594,00000128aa,1.392020032
595,00000129a,1.341330379
596,00000129aa,1.332311542
597,0000012Aa,1.283822323
598,0000012Aaa,1.332509316
599,0000012Ba,1.462584393
600,0000012Baa,1.363871568
601,0000012Ca,1.440778826
602,0000012Caa,1.570442313
603,0000012Da,1.380181312
604,0000012Daa,1.299167888
605,0000012Ea,1.390097899
606,0000012Eaa,1.352422546
607,0000012Fa,1.50375862
608,0000012Faa,1.325092904
609,00000130a,1.344898895
610,00000130aa,1.357285126
611,00000131a,1.348311521
612,00000131aa,1.303362232
613,00000132a,1.395848071
614,00000132aa,1.273252
615,00000133a,1.243733715
616,00000133aa,1.374964591
617,00000134a,1.348142535
618,00000134aa,1.375977109
619,00000135a,1.272458352
620,00000135aa,1.286572172
621,00000136a,1.17868802
622,00000136aa,1.4885621
623,00000137a,1.425767481
624,00000137aa,1.322371353
625,00000138a,1.669527182
626,00000138aa,1.342587324
627,00000139a,1.354349221
628,00000139aa,1.353261589
629,0000013Aa,1.457388466
630,0000013Aaa,1.27618729
631,0000013Ba,1.453193162
632,0000013Baa,1.313350411
633,0000013Ca,1.353743278
634,0000013Caa,1.387982382
635,0000013Da,1.363558829
636,0000013Daa,1.254131517
637,0000013Ea,1.602842208
638,0000013Eaa,1.420950357
639,0000013Fa,1.388765222
640,0000013Faa,1.509393046
641,00000140a,1.300521529
642,00000140aa,1.421077577
643,00000141a,1.487245545
644,00000141aa,1.328513033
645,00000142a,1.418938788
646,00000142aa,1.461827581
647,00000143a,1.318964741
648,00000143aa,1.401014678
649,00000144a,1.279375417
650,00000144aa,1.336566383
651,00000145a,1.253099846
652,00000145aa,1.33088633
653,00000146a,1.425736921
654,00000146aa,1.522332662
655,00000147a,1.493335234
656,00000147aa,1.474085564
657,00000148a,1.693907
658,00000148aa,1.218864926
659,00000149a,1.360525482
660,00000149aa,1.433745715
661,0000014Aa,1.384586469
662,0000014Aaa,1.488303772
663,0000014Ba,1.546468521
664,0000014Baa,1.395774927
665,0000014Ca,1.394542547
666,0000014Caa,1.380518717
667,0000014Da,1.443245106
668,0000014Daa,1.723290961
669,0000014Ea,1.262069971
670,0000014Eaa,1.355482804
671,0000014Fa,1.260114705
672,0000014Faa,1.49054488
673,00000150a,1.35830312
674,00000150aa,1.454658456
675,00000151a,1.383801636
676,00000151aa,1.184432894
677,00000152a,1.363550607
678,00000152aa,1.283551453
679,00000153a,1.436227827
680,00000153aa,1.302740447
681,00000154a,1.220950987
682,00000154aa,1.319495978
683,00000155a,1.287135179
684,00000155aa,1.423524369
685,00000156a,1.331727613
686,00000156aa,1.317775927
687,00000157a,1.307993827
688,00000157aa,1.313200644
689,00000158a,1.288381698
690,00000158aa,1.207116775
691,00000159a,1.403442151
692,00000159aa,1.250048448
693,0000015Aa,1.403045517
694,0000015Aaa,1.216717505
695,0000015Ba,1.470149797
696,0000015Baa,1.388144057
697,0000015Ca,1.318933493
698,0000015Caa,1.371008204
699,0000015Da,1.294493014
700,0000015Daa,1.716272737
701,0000015Ea,1.319824834
702,0000015Eaa,1.276854672
703,0000015Fa,1.282418025
704,0000015Faa,1.298972803
705,00000160a,1.285729274
706,00000160aa,1.334156863
707,00000161a,1.294025646
708,00000161aa,1.303263054
709,00000162a,1.403147517
710,00000162aa,1.555802
711,00000163a,1.534300132
712,00000163aa,1.335870134
713,00000164a,1.308850637
714,00000164aa,1.345731451
715,00000165a,1.516457102
716,00000165aa,1.364486747
717,00000166a,1.523555127
718,00000166aa,1.545526937
719,00000167a,1.253560783
720,00000167aa,1.262309898
721,00000168a,1.272736903
722,00000168aa,1.484213648
723,00000169a,1.268915988
724,00000169aa,1.364512584
725,0000016Aa,1.525629078
726,0000016Aaa,1.43054219
727,0000016Ba,1.269093294
728,0000016Baa,1.296858152
729,0000016Ca,1.5721125
730,0000016Caa,1.400514281
731,0000016Da,1.640972116
732,0000016Daa,1.304810029
733,0000016Ea,1.370073141
734,0000016Eaa,1.236280602
735,0000016Fa,1.432174706
736,0000016Faa,1.260861218
737,00000170a,1.365133786
738,00000170aa,1.319968622
739,00000171a,1.533537608
740,00000171aa,1.576786666
741,00000172a,1.232397882
742,00000172aa,1.380599607
743,00000173a,1.465431392
744,00000173aa,1.303386007
745,00000174a,1.407502422
746,00000174aa,1.348957928
747,00000175a,1.459308839
748,00000175aa,1.257185278
749,00000176a,1.324970118
750,00000176aa,1.52039325
751,00000177a,1.279961985
752,00000177aa,1.40746431
753,00000178a,1.602041388
754,00000178aa,1.334447468
755,00000179a,1.896611943
756,00000179aa,1.266100323
757,0000017Aa,1.449757543
758,0000017Aaa,1.501175645
759,0000017Ba,1.337601093
760,0000017Baa,1.390263293
761,0000017Ca,1.347223583
762,0000017Caa,1.398390261
763,0000017Da,1.351605863
764,0000017Daa,1.292830715
765,0000017Ea,1.293041416
766,0000017Eaa,1.342509201
767,0000017Fa,1.421779869
768,0000017Faa,1.402252383
769,00000180a,1.428471125
770,00000180aa,1.354022494
771,00000181a,1.303844
772,00000181aa,1.339465321
773,00000182a,1.305137398
774,00000182aa,1.375089324
775,00000183a,1.31772132
776,00000183aa,1.380102227
777,00000184a,1.298874751
778,00000184aa,1.280441419
779,00000185a,1.405210994
780,00000185aa,1.2383272
781,00000186a,1.55776354
782,00000186aa,1.349717936
783,00000187a,1.400763451
784,00000187aa,1.262597391
785,00000188a,1.431892077
786,00000188aa,1.361140821
787,00000189a,1.311766417
788,00000189aa,1.221721631
789,0000018Aa,1.424120076
790,0000018Aaa,1.490962803
791,0000018Ba,1.350615894
792,0000018Baa,1.244324076
793,0000018Ca,1.499238256
794,0000018Caa,1.34682877
795,0000018Da,1.278355421
796,0000018Daa,1.392558101
797,0000018Ea,1.416565411
798,0000018Eaa,1.330133306
799,0000018Fa,1.328952506
800,0000018Faa,1.483457669
801,00000190a,1.385474613
802,00000190aa,1.223803455
803,00000191a,1.527818415
804,00000191aa,1.294445021
805,00000192a,1.25789056
806,00000192aa,1.305280446
807,00000193a,1.289624527
808,00000193aa,1.330895512
809,00000194a,1.300865999
810,00000194aa,1.549143688
811,00000195a,1.453859057
812,00000195aa,1.326893008
813,00000196a,1.348505824
814,00000196aa,1.444877466
815,00000197a,1.724514648
816,00000197aa,1.352857461
817,00000198a,1.332335929
818,00000198aa,1.366021815
819,00000199a,1.515703766
820,00000199aa,1.422753679
821,0000019Aa,1.332610771
