,index,mu_driver_birth,s_driver_birth
199,000077ED,1e-05,0.2
200,00004223,1e-04,2.0
201,00004040,1e-04,2.0
202,00003728,1e-03,0.2
203,00002922,1e-03,1.0
204,00000017,1e-02,2.0
205,000043E3,1e-04,1.5
206,00008021,1e-06,2.0
207,00003244,1e-03,0.4
208,00004C3F,1e-04,0.5
209,00002BE9,1e-03,0.5
210,000006C4,1e-02,1.5
211,000009F8,1e-02,1.0
212,00007621,1e-05,0.2
213,00003271,1e-03,0.4
214,00007993,1e-05,0.1
215,00007759,1e-05,0.2
216,00004362,1e-04,1.5
217,00003E47,1e-03,0.1
218,00002F24,1e-03,0.4
219,00006AE2,1e-05,0.5
220,00008DD7,1e-06,0.4
221,00007947,1e-05,0.1
222,00003235,1e-03,0.4
223,00004334,1e-04,1.5
224,00002088,1e-03,2.0
225,00004978,1e-04,1.0
226,00001240,1e-02,0.4
227,000095BF,1e-06,0.2
228,00004C3E,1e-04,0.5
229,0000271A,1e-03,1.0
230,00008DFB,1e-06,0.4
231,000014A2,1e-02,0.3
232,00000213,1e-02,2.0
233,00007299,1e-05,0.3
234,00000F44,1e-02,0.5
235,00000635,1e-02,1.5
236,000078AA,1e-05,0.2
237,00008EF9,1e-06,0.4
238,00006441,1e-05,1.5
239,00006FAC,1e-05,0.4
240,000079B6,1e-05,0.1
241,0000200B,1e-03,2.0
242,000003A3,1e-02,2.0
243,00007F93,1e-06,2.0
244,00004490,1e-04,1.5
245,00007ECB,1e-06,2.0
246,000042CC,1e-04,1.5
247,0000644B,1e-05,1.5
248,00001AA8,1e-02,0.2
249,00009216,1e-06,0.3
250,000028BC,1e-03,1.0
251,0000065C,1e-02,1.5
252,00005FA4,1e-05,2.0
253,00005154,1e-04,0.4
254,000057D2,1e-04,0.2
255,00008305,1e-06,1.5
256,00002900,1e-03,1.0
257,00003844,1e-03,0.2
258,00006B93,1e-05,0.5
259,00002465,1e-03,1.5
260,00000900,1e-02,1.0
261,00001CA6,1e-02,0.1
262,00003BDD,1e-03,0.1
263,00003635,1e-03,0.3
264,00008C06,1e-06,0.5
265,00007475,1e-05,0.3
266,000072BD,1e-05,0.3
267,00006396,1e-05,1.5
268,0000711F,1e-05,0.4
269,00007885,1e-05,0.2
270,00006197,1e-05,2.0
271,00005721,1e-04,0.2
272,00001D08,1e-02,0.1
273,000038FC,1e-03,0.2
274,00007894,1e-05,0.2
275,0000020E,1e-02,2.0
276,000024F9,1e-03,1.5
277,000030CD,1e-03,0.4
278,000080CF,1e-06,2.0
279,00005E25,1e-05,2.0
280,000090CC,1e-06,0.3
281,00001E5F,1e-02,0.1
282,00004B01,1e-04,0.5
283,000098C1,1e-06,0.1
284,000048B5,1e-04,1.0
285,00009263,1e-06,0.3
286,0000638C,1e-05,1.5
287,00007B30,1e-05,0.1
288,00001C44,1e-02,0.1
289,00002972,1e-03,1.0
290,000089AB,1e-06,0.5
291,00000A7D,1e-02,1.0
292,000037A8,1e-03,0.2
293,000051E3,1e-04,0.4
294,00006148,1e-05,2.0
295,00006CBA,1e-05,0.5
296,000037EA,1e-03,0.2
297,000076B1,1e-05,0.2
298,000010BC,1e-02,0.4
299,00000184,1e-02,2.0
300,00003144,1e-03,0.4
301,000098CF,1e-06,0.1
302,00006EB6,1e-05,0.4
303,00007045,1e-05,0.4
304,00009AC1,1e-06,0.1
305,00003E85,1e-04,2.0
306,00006D77,1e-05,0.4
307,00007152,1e-05,0.3
308,00001557,1e-02,0.3
309,00002083,1e-03,2.0
310,00008864,1e-06,1.0
311,000024E8,1e-03,1.5
312,00000908,1e-02,1.0
313,000000D3,1e-02,2.0
314,0000019D,1e-02,2.0
315,000051B9,1e-04,0.4
316,00003C71,1e-03,0.1
317,00004066,1e-04,2.0
318,000037BD,1e-03,0.2
319,000052D0,1e-04,0.3
320,000093F6,1e-06,0.3
321,00005ED5,1e-05,2.0
322,00003F87,1e-04,2.0
323,00007E5C,1e-06,2.0
324,000023C1,1e-03,1.5
325,000099DA,1e-06,0.1
326,00001B5A,1e-02,0.1
327,000082DA,1e-06,1.5
328,0000287E,1e-03,1.0
329,0000670B,1e-05,1.0
330,00006E60,1e-05,0.4
331,00005B01,1e-04,0.1
332,00005E1F,1e-05,2.0
333,000059BB,1e-04,0.2
334,00003696,1e-03,0.3
335,0000794F,1e-05,0.1
336,00008722,1e-06,1.0
337,000003E4,1e-02,2.0
338,0000205B,1e-03,2.0
339,0000565A,1e-04,0.2
340,0000077E,1e-02,1.5
341,00002957,1e-03,1.0
342,0000166A,1e-02,0.3
343,0000188C,1e-02,0.2
344,000064CC,1e-05,1.5
345,000049C3,1e-04,1.0
346,000038ED,1e-03,0.2
347,000094B0,1e-06,0.2
348,00002840,1e-03,1.0
349,00000F3E,1e-02,0.5
350,00000711,1e-02,1.5
351,00001FEB,1e-03,2.0
352,000033B3,1e-03,0.3
353,0000336B,1e-03,0.3
354,00002EC1,1e-03,0.5
355,00002A38,1e-03,1.0
356,0000413B,1e-04,2.0
357,00000B11,1e-02,1.0
358,000073B9,1e-05,0.3
359,00007DAC,1e-06,2.0
360,00007A30,1e-05,0.1
361,0000163F,1e-02,0.3
362,00003769,1e-03,0.2
