"id","sweep_init_time","pop_radius_at_sweep_init"
"00000000",0,0
"00000000",139.376099,17.5262386200621
"00000001",0,0
"00000001",203.739914,23.65562892656
"00000002",0,0
"00000002",201.62999,26.9042130749431
"00000003",0,0
"00000003",166.437424,19.1492294592688
"00000004",0,0
"00000004",255.253265,35.5125860655089
"00000005",0,0
"00000005",168.105621,19.6010212137999
"00000006",0,0
"00000006",90.636894,11.7941265154447
"00000007",0,0
"00000007",226.536743,25.2187064020979
"00000008",0,0
"00000008",163.809601,17.8144591982254
"00000008",253.043823,44.248436242612
"00000008",241.713867,38.7323442820623
"00000009",0,0
"00000009",117.652107,11.9015923032083
"00000009",202.885773,23.0075931101809
"0000000A",0,0
"0000000A",265.649841,24.4236100261289
"0000000B",0,0
"0000000B",115.117882,13.2674551840071
"0000000B",122.931679,19.3064983029347
"0000000C",0,0
"0000000D",0,0
"0000000D",282.238007,29.0434364080259
"0000000D",290.278717,29.875423358663
"0000000E",0,0
"0000000E",89.583328,9.91754782346883
"0000000E",106.501587,13.195283541574
"0000000F",0,0
"0000000F",219.965271,22.6590786753225
"00000010",0,0
"00000010",5.312266,1.12837916709551
"00000011",0,0
"00000011",131.413773,16.4294486664603
"00000011",143.83284,22.4047916864192
"00000012",0,0
"00000012",69.061386,7.63221522047392
"00000013",0,0
"00000013",195.453415,16.6507630715857
"00000014",0,0
"00000014",154.468674,10.7492552618642
"00000014",230.739044,28.7293845195919
"00000014",268.414001,40.6842894512822
"00000015",0,0
"00000015",289.731781,28.3894457821451
"00000015",296.370636,29.3758080985742
"00000016",0,0
"00000016",144.964661,19.9710362121821
"00000017",0,0
"00000017",173.756912,20.875014591267
"00000017",208.640945,35.0842461779175
"00000018",0,0
"00000018",136.716293,15.2748534059322
"00000019",0,0
"00000019",222.78299,25.8359406898106
"00000019",266.763214,41.7652747660921
"0000001A",0,0
"0000001A",178.916275,18.1683062494166
"0000001B",0,0
"0000001B",150.856171,16.8124709347319
"0000001C",0,0
"0000001C",194.070755,22.9591195719774
"0000001D",0,0
"0000001D",126.723602,13.0619332028039
"0000001E",0,0
"0000001E",165.332703,18.3946570778955
"0000001E",193.476898,30.261816577178
"0000001F",0,0
"0000001F",285.34848,36.4284767112245
"0000001F",319.251892,43.4828785147869
"00000020",0,0
"00000020",231.961761,26.7856395006403
"00000021",0,0
"00000021",343.463989,36.9016218220047
"00000022",0,0
"00000022",158.149628,15.3683419908711
"00000022",228.663986,50.3553031302571
"00000023",0,0
"00000023",101.390968,8.368283871884
"00000024",0,0
"00000024",207.231018,20.7909794246829
"00000024",217.988693,22.3336425969881
"00000025",0,0
"00000025",196.107742,20.3343193186481
"00000025",233.492706,24.926710529686
"00000025",283.207245,32.415134340192
"00000026",0,0
"00000027",0,0
"00000027",209.947586,19.71436965846
"00000027",226.650208,27.9430519236686
"00000028",0,0
"00000028",124.404022,12.0477926650407
"00000028",155.746185,32.9845902047637
"00000029",0,0
"00000029",149.689087,12.6785840109538
"0000002A",0,0
"0000002A",166.689743,19.2817516596047
"0000002B",0,0
"0000002B",234.810425,29.7365913281696
"0000002C",0,0
"0000002C",174.259476,16.8502943142232
"0000002C",201.939758,24.002935112037
"0000002D",0,0
"0000002D",167.548019,18.6268026225741
"0000002E",0,0
"0000002E",179.199493,18.4292335314875
"0000002F",0,0
"0000002F",183.241928,24.5081773134767
