,index,mu_driver_birth,s_driver_birth
191,000000BEa,1e-05,0.15
192,000000BFa,1e-05,0.15
193,000000C0a,1e-05,0.15
194,000000C1a,1e-05,0.15
195,000000C2a,1e-05,0.15
196,000000C3a,1e-05,0.15
197,000000C4a,1e-05,0.15
198,000000C5a,1e-05,0.15
199,000000C6a,1e-05,0.15
200,000000C7a,1e-05,0.15
201,000000C8a,1e-05,0.15
202,000000C9a,1e-05,0.15
203,000000CAa,1e-05,0.15
204,000000CBa,1e-05,0.15
205,000000CCa,1e-05,0.15
206,000000CDa,1e-05,0.15
207,000000CEa,1e-05,0.15
208,000000CFa,1e-05,0.15
209,000000D0a,1e-05,0.15
210,000000D1a,1e-05,0.15
211,000000D2a,1e-05,0.15
212,000000D3a,1e-05,0.15
213,000000D4a,1e-05,0.15
214,000000D5a,1e-05,0.15
215,000000D6a,1e-05,0.15
216,000000D7a,1e-05,0.15
217,000000D8a,1e-05,0.15
218,000000D9a,1e-05,0.15
219,000000DAa,1e-05,0.15
220,000000DBa,1e-05,0.15
221,000000DCa,1e-05,0.15
222,000000DDa,1e-05,0.15
223,000000DEa,1e-05,0.15
224,000000DFa,1e-05,0.15
225,000000E0a,1e-05,0.15
226,000000E1a,1e-05,0.15
227,000000E2a,1e-05,0.15
228,000000E3a,1e-05,0.15
229,000000E4a,1e-05,0.15
230,000000E5a,1e-05,0.15
231,000000E6a,1e-05,0.15
232,000000E7a,1e-05,0.15
233,000000E8a,1e-05,0.15
234,000000E9a,1e-05,0.15
235,000000EAa,1e-05,0.15
236,000000EBa,1e-05,0.15
237,000000ECa,1e-05,0.15
238,000000EDa,1e-05,0.15
239,000000EEa,1e-05,0.15
240,000000EFa,1e-05,0.15
241,000000F0a,1e-05,0.15
242,000000F1a,1e-05,0.15
243,000000F2a,1e-05,0.15
244,000000F3a,1e-05,0.15
245,000000F4a,1e-05,0.15
246,000000F5a,1e-05,0.15
247,000000F6a,1e-05,0.15
248,000000F7a,1e-05,0.15
249,000000F8a,1e-05,0.15
250,000000F9a,1e-05,0.15
251,000000FAa,1e-05,0.15
252,000000FBa,1e-05,0.15
253,000000FCa,1e-05,0.15
254,000000FDa,1e-05,0.15
255,000000FEa,1e-05,0.15
256,000000FFa,1e-05,0.15
257,00000100a,1e-05,0.15
258,00000101a,1e-05,0.15
259,00000102a,1e-05,0.15
260,00000103a,1e-05,0.15
261,00000104a,1e-05,0.15
262,00000105a,1e-05,0.15
263,00000106a,1e-05,0.15
264,00000107a,1e-05,0.15
265,00000108a,1e-05,0.15
266,00000109a,1e-05,0.15
267,0000010Aa,1e-05,0.15
268,0000010Ba,1e-05,0.15
269,0000010Ca,1e-05,0.15
270,0000010Da,1e-05,0.15
271,0000010Ea,1e-05,0.15
272,0000010Fa,1e-05,0.15
273,00000110a,1e-05,0.15
274,00000111a,1e-05,0.15
275,00000112a,1e-05,0.15
276,00000113a,1e-05,0.15
277,00000114a,1e-05,0.15
278,00000115a,1e-05,0.15
279,00000116a,1e-05,0.15
280,00000117a,1e-05,0.15
281,00000118a,1e-05,0.15
282,00000119a,1e-05,0.15
283,0000011Aa,1e-05,0.15
284,0000011Ba,1e-05,0.15
285,0000011Ca,1e-05,0.15
286,0000011Da,1e-05,0.15
287,0000011Ea,1e-05,0.15
288,0000011Fa,1e-05,0.15
289,00000120a,1e-05,0.15
290,00000121a,1e-05,0.15
291,00000122a,1e-05,0.15
292,00000123a,1e-05,0.15
293,00000124a,1e-05,0.15
294,00000125a,1e-05,0.15
295,00000126a,1e-05,0.15
296,00000127a,1e-05,0.15
297,00000128a,1e-05,0.15
298,00000129a,1e-05,0.15
299,0000012Aa,1e-05,0.15
300,0000012Ba,1e-05,0.15
301,0000012Ca,1e-05,0.15
302,0000012Da,1e-05,0.15
303,0000012Ea,1e-05,0.15
304,0000012Fa,1e-05,0.15
305,00000130a,1e-05,0.15
306,00000131a,1e-05,0.15
307,00000132a,1e-05,0.15
308,00000133a,1e-05,0.15
309,00000134a,1e-05,0.15
310,00000135a,1e-05,0.15
311,00000136a,1e-05,0.15
312,00000137a,1e-05,0.15
313,00000138a,1e-05,0.15
314,00000139a,1e-05,0.15
315,0000013Aa,1e-05,0.15
316,0000013Ba,1e-05,0.15
317,0000013Ca,1e-05,0.15
318,0000013Da,1e-05,0.15
319,0000013Ea,1e-05,0.15
320,0000013Fa,1e-05,0.15
321,00000140a,1e-05,0.15
322,00000141a,1e-05,0.15
323,00000142a,1e-05,0.15
324,00000143a,1e-05,0.15
325,00000144a,1e-05,0.15
326,00000145a,1e-05,0.15
327,00000146a,1e-05,0.15
328,00000147a,1e-05,0.15
329,00000148a,1e-05,0.15
330,00000149a,1e-05,0.15
331,0000014Aa,1e-05,0.15
