,id,speed_early,speed_late
3484,00000D9B,0.282957277,0.278476862
3485,00000D9C,0.27367872,0.280139271
3486,00000D9D,0.272770933,0.282355209
3487,00000D9E,0.289706778,0.282463043
3488,00000D9F,0.266674283,0.279441415
3489,00000DA0,0.266359168,0.279689396
3490,00000DA1,0.276935081,0.280311267
3491,00000DA2,0.250365004,0.263216264
3492,00000DA3,0.245729754,0.25857891
3493,00000DA4,0.253009817,0.259188663
3494,00000DA5,0.250143674,0.261988685
3495,00000DA6,0.243630242,0.25601569
3496,00000DA7,0.248010401,0.257902553
3497,00000DA8,0.252436211,0.260154421
3498,00000DA9,0.252560617,0.255941131
3499,00000DAA,0.255568195,0.257012441
3500,00000DAB,0.258643151,0.259015489
3501,00000DAC,0.232789848,0.234009314
3502,00000DAD,0.235591066,0.237238562
3503,00000DAE,0.233585748,0.235816916
3504,00000DAF,0.242769361,0.236609086
3505,00000DB0,0.228799756,0.235593898
3506,00000DB1,0.226625944,0.237470189
3507,00000DB2,0.229921348,0.237694403
3508,00000DB3,0.235460504,0.23881376
3509,00000DB4,0.244389041,0.236759563
3510,00000DB5,0.226330337,0.23415348
3511,00000DB6,0.220949936,0.213081337
3512,00000DB7,0.212125009,0.2156452
3513,00000DB8,0.197161259,0.21384931
3514,00000DB9,0.208732513,0.215480412
3515,00000DBA,0.210743297,0.213739056
3516,00000DBB,0.227471736,0.214466491
3517,00000DBC,0.22447709,0.215539054
3518,00000DBD,0.206453665,0.210436868
3519,00000DBE,0.216728333,0.214021047
3520,00000DBF,0.202828884,0.216728524
3521,00000DC0,0.187377694,0.191405112
3522,00000DC1,0.190955759,0.192513142
3523,00000DC2,0.191034317,0.19179913
3524,00000DC3,0.186549848,0.194686851
3525,00000DC4,0.18664452,0.19048925
3526,00000DC5,0.187991274,0.192172447
3527,00000DC6,0.187860924,0.195236732
3528,00000DC7,0.187024835,0.190808926
3529,00000DC8,0.194691185,0.193782488
3530,00000DC9,0.186346732,0.19342273
3531,00000DCA,0.172015741,0.172895907
3532,00000DCB,0.172658859,0.172697573
3533,00000DCC,0.163145895,0.17241411
3534,00000DCD,0.171110172,0.172296625
