id,sweep_init_time,pop_radius_at_sweep_init
00000093aa,120.636711,16.41975863
00000094a,0,0
00000094aa,0,0
00000095a,0,0
00000095aa,0,0
00000096a,259.404755,36.3628831
00000096aa,627.0578,99.26209859
00000097a,801.147217,134.5210654
00000097aa,0,0
00000098a,0,0
00000098aa,0,0
00000099a,0,0
00000099aa,0,0
0000009Aa,0,0
0000009Aaa,0,0
0000009Ba,261.519714,31.91538243
0000009Baa,0,0
0000009Ca,0,0
0000009Caa,0,0
0000009Da,0,0
0000009Daa,326.149963,43.47921819
0000009Ea,0,0
0000009Eaa,0,0
0000009Fa,56.429558,5.997417539
0000009Faa,0,0
000000A0a,0,0
000000A0aa,0,0
000000A1a,173.92717,17.64389607
000000A1aa,0,0
000000A2a,290.764008,30.77808021
000000A2aa,0,0
000000A3a,0,0
000000A3aa,0,0
000000A4a,0,0
000000A4aa,0,0
000000A5a,0,0
000000A5aa,0,0
000000A6a,0,0
000000A6aa,0,0
000000A7a,0,0
000000A7aa,0,0
000000A8a,0,0
000000A8aa,0,0
000000A9a,0,0
000000A9aa,0,0
000000AAa,0,0
000000AAaa,0,0
000000ABa,0,0
000000ABaa,419.130798,50.63896171
000000ACa,0,0
000000ACaa,441.525146,59.02997818
000000ADa,0,0
000000ADaa,0,0
000000AEa,0,0
000000AEaa,0,0
000000AFa,550.930176,69.80691977
000000AFaa,0,0
000000B0a,519.10907,63.19930737
000000B0aa,0,0
000000B1a,0,0
000000B1aa,0,0
000000B2a,0,0
000000B2aa,0,0
000000B3a,0,0
000000B3aa,0,0
000000B4a,0,0
000000B4aa,0,0
000000B5a,224.253647,23.52744976
000000B5aa,0,0
000000B6a,0,0
000000B6aa,0,0
000000B7a,291.17984,29.53789766
000000B7aa,335.007538,35.44529758
000000B8a,0,0
000000B8aa,0,0
000000B9a,0,0
000000B9aa,551.490112,71.11027248
000000BAa,0,0
000000BAaa,0,0
000000BBa,0,0
000000BBaa,0,0
000000BCa,0,0
000000BCaa,0,0
000000BDa,0,0
000000BDaa,0,0
000000BEa,0,0
000000BEaa,0,0
000000BFa,0,0
000000BFaa,0,0
000000C0a,0,0
000000C0aa,0,0
000000C1a,0,0
000000C1aa,0,0
000000C2a,0,0
000000C2aa,0,0
000000C3a,0,0
000000C3aa,0,0
000000C4a,0,0
000000C4aa,0,0
000000C5a,0,0
000000C5aa,646.891357,83.83864805
000000C6a,0,0
000000C6aa,0,0
000000C7a,0,0
000000C7aa,383.082642,46.46607319
000000C8a,710.677673,95.36306124
000000C8aa,0,0
000000C9a,0,0
000000C9aa,0,0
000000CAa,0,0
000000CAaa,0,0
000000CBa,0,0
000000CBaa,0,0
000000CCa,0,0
000000CCaa,0,0
000000CDa,0,0
000000CDaa,0,0
000000CEa,0,0
000000CEaa,0,0
000000CFa,40.860836,4.820437915
000000CFaa,0,0
000000D0a,122.844986,14.83078323
000000D0aa,358.551819,43.52312182
000000D1a,0,0
000000D1aa,0,0
000000D2a,0,0
000000D2aa,0,0
000000D3a,0,0
000000D3aa,286.742157,37.1337909
000000D4a,0,0
000000D4aa,0,0
000000D5a,0,0
000000D5aa,51.226154,6.723094811
000000D6a,0,0
000000D6aa,0,0
000000D7a,0,0
000000D7aa,0,0
000000D8a,0,0
000000D8aa,0,0
000000D9a,0,0
000000D9aa,0,0
000000DAa,0,0
000000DAaa,0,0
000000DBa,0,0
000000DBaa,390.282562,49.42056006
000000DCa,0,0
000000DCaa,0,0
000000DDa,316.385101,35.94467733
000000DDaa,0,0
000000DEa,388.599915,50.49417975
000000DEaa,0,0
000000DFa,0,0
000000DFaa,0,0
000000E0a,0,0
000000E0aa,0,0
000000E1a,0,0
000000E1aa,0,0
000000E2a,0,0
000000E2aa,0,0
000000E3a,0,0
000000E3aa,0,0
000000E4a,0,0
000000E4aa,0,0
000000E5a,0,0
000000E5aa,0,0
000000E6a,528.591675,68.68298562
000000E6aa,0,0
000000E7a,762.745544,102.4342086
000000E7aa,916.841309,125.1852652
000000E8a,0,0
000000E8aa,0,0
000000E9a,183.261475,22.55347419
000000E9aa,0,0
000000EAa,0,0
000000EAaa,0,0
000000EBa,0,0
000000EBaa,0,0
000000ECa,0,0
000000ECaa,0,0
000000EDa,0,0
000000EDaa,0,0
000000EEa,0,0
000000EEaa,0,0
000000EFa,0,0
000000EFaa,0,0
000000F0a,0,0
000000F0aa,600.007874,73.14256119
000000F1a,782.301392,99.79778569
000000F1aa,0,0
000000F2a,0,0
000000F2aa,203.648514,23.21419043
000000F3a,467.84259,61.38268585
000000F3aa,0,0
000000F4a,0,0
000000F4aa,0,0
000000F5a,0,0
000000F5aa,0,0
000000F6a,0,0
000000F6aa,0,0
000000F7a,0,0
