xval 2D,yval 2D,xval 3D,yval 3D
0.0791704353677763,1.19082390076715e-06-1.38626390164688e-18i,0.0315631089046916,2.29824312898808e-08
0.118755653051664,3.17553007043549e-06-3.69511434240046e-18i,0.0473446633570374,8.27367525740672e-08
0.158340870735553,5.95411768619426e-06-6.9293356275601e-18i,0.0631262178093833,1.97648908488095e-07
0.197926088419441,9.5265851587772e-06-1.10922084348711e-17i,0.0789077722617291,3.86104842693797e-07
0.237511306103329,1.3892929877155e-05-1.61578190107666e-17i,0.0946893267140749,6.66490496656012e-07
0.277096523787217,1.9053147953103e-05-2.21443863319805e-17i,0.110470881166421,1.05719180764919e-06
0.316681741471105,2.50072339657739e-05-2.90946423071144e-17i,0.126252435618767,1.5765947058014e-06
0.356266959154993,3.17551807062723e-05-3.69936992115494e-17i,0.142033990071112,2.24308510998318e-06
0.395852176838881,3.92969789222359e-05-4.57122466287858e-17i,0.157815544523458,3.07504892234877e-06
0.435437394522769,4.76326170624223e-05-5.5372252976852e-17i,0.173597098975804,4.09087202133719e-06
0.475022612206658,5.67620810213041e-05-6.57624050847585e-17i,0.18937865342815,5.30894025294053e-06
0.514607829890546,6.66853538836807e-05-7.76607444328469e-17i,0.205160207880496,6.74763942004722e-06
0.554193047574434,7.74024156692965e-05-8.98072186292771e-17i,0.220941762332841,8.42535526966734e-06
0.593778265258322,8.89132430774829e-05-1.03491410415062e-16i,0.236723316785187,1.0360473477848e-05
0.63336348294221,0.000101217809231818-1.17475593202478e-16i,0.252504871237533,1.25713796320854e-05
0.672948700626098,0.000114316083424806-1.32506600450306e-16i,0.268286425689879,1.50764592110427e-05
0.712533918309986,0.00012820803086259-1.49637089012844e-16i,0.284067980142225,1.78940975613788e-05
0.752119135993874,0.000142893612409689-1.65353747600814e-16i,0.29984953459457,2.10426798714978e-05
0.791704353677763,0.000158372784333769-1.82905623850388e-16i,0.315631089046916,2.45405911420254e-05
0.831289571361651,0.00017464549805046-2.02158680312022e-16i,0.331412643499262,2.84062161528203e-05
0.870874789045539,0.000191711699868206-2.21698128127382e-16i,0.347194197951608,3.26579394263272e-05
0.910460006729427,0.000209571330733162-2.42803547374221e-16i,0.362975752403954,3.73141451870808e-05
0.950045224413315,0.000228224325974158-2.65819359170443e-16i,0.378757306856299,4.2393217317166e-05
0.989630442097203,0.00024767061504771-2.86897822499398e-16i,0.394538861308645,4.79135393074436e-05
1.02921565978109,0.000267910121288914-3.1316168851314e-16i,0.410320415760991,5.38934942044338e-05
1.06880087746498,0.000288942761657442-3.33774164976822e-16i,0.426101970213337,6.03514645525139e-05
1.10838609514887,0.000310768446445204-3.58068121536453e-16i,0.441883524665683,6.73058323307557e-05
1.14797131283276,0.000333387079069432-3.81811313183992e-16i,0.457665079118029,7.47749788859464e-05
1.18755653051664,0.000356798555801576-4.11400281454791e-16i,0.473446633570374,8.27772848595163e-05
1.22714174820053,0.000381002765512856-4.39893638695299e-16i,0.48922818802272,9.13311301093157e-05
1.26672696588442,0.000405999589419853-4.67843762238638e-16i,0.505009742475066,0.000100454893625809
1.30631218356831,0.000431788900830176-4.95944331025039e-16i,0.520791296927412,0.000110166953442494
1.3458974012522,0.000458370564888273-5.29614213049475e-16i,0.536572851379758,0.000120485686540363
1.38548261893608,0.000485744438321252-5.61458277353533e-16i,0.552354405832103,0.000131429468746191
1.42506783661997,0.000513910369184881-6.01272678554488e-16i,0.568135960284449,0.000143016674624492
1.46465305430386,0.000542868196609774-6.13191221578808e-16i,0.583917514736795,0.000155265677362917
1.50423827198775,0.000572617750547536-6.55775103695439e-16i,0.599699069189141,0.000168194848650929
1.54382348967164,0.000603158851517192-6.87680491680811e-16i,0.615480623641487,0.000181822558551546
1.58340870735553,0.00063449131034388-7.21404104201354e-16i,0.631262178093833,0.000196167175365959
1.62299392503941,0.000666614927912502-7.60347758104632e-16i,0.647043732546178,0.000211247065490844
1.6625791427233,0.000699529494919033-8.1303767076233e-16i,0.662825286998524,0.000227080593268192
1.70216436040719,0.000733234791614435-8.52811934925211e-16i,0.67860684145087,0.000243686120827432
1.74174957809108,0.000767730587553536-9.03286559411984e-16i,0.694388395903216,0.000261082007919673
1.78133479577497,0.000803016641341583-9.00211566719317e-16i,0.710169950355562,0.000279286611743868
1.82092001345885,0.000839092700380766-9.64383566144841e-16i,0.725951504807907,0.000298318286764719
1.86050523114274,0.000875958500620107-1.02046184930228e-15i,0.741733059260253,0.000318195384522107
1.90009044882663,0.000913613766302782-1.06802213850932e-15i,0.757514613712599,0.000338936253431899
1.93967566651052,0.000952058209713344-1.11978015715748e-15i,0.773296168164945,0.000360559238577887
1.97926088419441,0.000991291530928309-1.14419556952335e-15i,0.789077722617291,0.000383082681494721
2.0188461018783,0.0010313134175641-1.17702100946585e-15i,0.804859277069636,0.000406524919941608
2.05843131956218,0.00107212354453527-1.24966786521082e-15i,0.820640831521982,0.000430904287667271
2.09801653724607,0.00111372157380905-1.2834340689948e-15i,0.836422385974328,0.000456239114164718
2.13760175492996,0.00115610715408393-1.30087736474296e-15i,0.852203940426674,0.000482547724412064
2.17718697261385,0.00119927992062984-1.34844659799367e-15i,0.86798549487902,0.000509848438612716
2.21677219029774,0.00124323949500756-1.39193211307677e-15i,0.883767049331366,0.000538159571918202
2.25635740798162,0.00128798548481891-1.49837766623947e-15i,0.899548603783711,0.000567499434142558
2.29594262566551,0.00133351748345713-1.50227276390432e-15i,0.915330158236057,0.000597886329466178
2.3355278433494,0.00137983506986018-1.54763427545174e-15i,0.931111712688403,0.000629338556128925
