id,sweep_init_time,pop_radius_at_sweep_init
00000000a,0,0
00000000a,207.383759,26.37850282
00000000a,326.223419,46.93975961
00000001a,0,0
00000001a,297.218719,38.18192345
00000002a,0,0
00000002a,418.896515,58.03753282
00000002a,477.159454,65.09486312
00000002a,599.94989,90.49221034
00000003a,0,0
00000003a,166.437424,19.14922946
00000004a,0,0
00000005a,0,0
00000005a,198.253708,23.95647563
00000005a,356.777649,52.86549726
00000005a,444.44516,72.92245853
00000006a,0,0
00000006a,334.905334,47.79321859
00000007a,0,0
00000007a,225.861649,25.31948086
00000008a,0,0
00000009a,0,0
00000009a,397.161255,52.78414946
0000000Aa,0,0
0000000Ba,0,0
0000000Ca,0,0
0000000Ca,168.700134,18.46374523
0000000Ca,246.598892,28.68503191
0000000Ca,332.488586,55.9288052
0000000Ca,539.524902,142.2059963
0000000Da,0,0
0000000Da,355.320221,40.9494381
0000000Da,546.977539,69.09422315
0000000Ea,0,0
0000000Ea,433.700226,51.35365038
0000000Ea,555.945984,74.80992193
0000000Ea,662.122253,107.6819044
0000000Fa,0,0
0000000Fa,219.965271,22.66610148
00000010a,0,0
00000010a,5.312266,1.128379167
00000011a,0,0
00000012a,0,0
00000013a,0,0
00000013a,377.235565,40.4646272
00000014a,0,0
00000015a,0,0
00000015a,504.022797,55.33949236
00000016a,0,0
00000016a,391.510101,55.09738092
00000017a,0,0
00000018a,0,0
00000018a,288.803223,34.54480805
00000018a,333.627106,42.03874984
00000019a,0,0
00000019a,293.742126,36.51575158
0000001Aa,0,0
0000001Aa,239.642746,23.64889997
0000001Ba,0,0
0000001Ca,0,0
0000001Da,0,0
0000001Da,391.764221,50.65467395
0000001Da,511.237885,75.22574796
0000001Da,569.985962,97.21102767
0000001Ea,0,0
0000001Ea,355.043091,42.35557246
0000001Fa,0,0
0000001Fa,264.907318,31.67511265
00000020a,0,0
00000021a,0,0
00000021a,484.210327,56.18999698
00000021a,543.69812,64.50293421
00000022a,0,0
00000023a,0,0
00000024a,0,0
00000024a,319.510956,36.02870683
00000025a,0,0
00000026a,0,0
00000027a,0,0
00000028a,0,0
00000028a,341.293243,37.08232339
00000028a,532.08844,84.17020338
00000029a,0,0
00000029a,357.937866,42.79667143
00000029a,439.87384,54.33236498
0000002Aa,0,0
0000002Aa,377.077087,47.2506671
0000002Aa,487.136139,63.23958736
0000002Ba,0,0
0000002Ba,476.149658,62.08649387
0000002Ba,572.913696,91.56051263
0000002Ca,0,0
0000002Da,0,0
0000002Da,296.660583,35.53050814
0000002Ea,0,0
0000002Ea,332.707458,37.95197274
0000002Ea,441.548676,53.42848547
0000002Ea,514.169556,70.63193928
0000002Fa,0,0
00000030a,0,0
00000031a,0,0
00000031a,362.254517,43.49385765
00000031a,620.553223,104.155265
00000032a,0,0
00000032a,314.393311,38.33999288
00000032a,437.049133,55.47736736
00000033a,0,0
00000034a,0,0
00000035a,0,0
00000035a,282.24408,35.22911078
00000036a,0,0
00000036a,155.209274,19.56851535
00000037a,0,0
00000037a,455.458466,52.76605513
00000037a,557.266907,69.0896161
00000037a,743.27771,100.4384235
00000038a,0,0
00000039a,0,0
00000039a,255.662125,33.05688792
00000039a,360.249939,53.41656878
0000003Aa,0,0
0000003Ba,0,0
0000003Ba,265.980347,29.67229592
0000003Ca,0,0
0000003Da,0,0
0000003Da,78.996445,7.837972189
0000003Ea,0,0
0000003Fa,0,0
0000003Fa,315.582367,37.39432216
00000040a,0,0
00000041a,0,0
00000041a,298.206055,32.68406306
00000042a,0,0
00000043a,0,0
00000043a,73.215752,7.776816725
00000043a,125.281494,23.7026781
00000043a,173.996124,54.53702941
00000044a,0,0
00000045a,0,0
00000046a,0,0
00000046a,211.330673,23.68924501
00000047a,0,0
00000048a,0,0
00000049a,0,0
00000049a,283.280579,30.40348515
0000004Aa,0,0
0000004Aa,387.540985,44.81668642
0000004Ba,0,0
0000004Ba,363.635803,39.59389081
0000004Ca,0,0
0000004Ca,390.785431,50.13674472
0000004Ca,566.700256,89.72743143
0000004Ca,600.667786,100.8495785
0000004Da,0,0
0000004Ea,0,0
0000004Fa,0,0
0000004Fa,288.050934,34.75609325
0000004Fa,518.328613,71.73643377
0000004Fa,574.932922,87.83074685
00000050a,0,0
00000050a,317.822662,38.52634163
00000051a,0,0
00000052a,0,0
00000053a,0,0
00000053a,313.936279,36.21815899
00000054a,0,0
00000054a,345.264862,35.2200742
00000055a,0,0
00000055a,245.686295,34.19752216
00000055a,490.661835,72.39675812
00000055a,603.076111,91.81741303
00000056a,0,0
00000056a,309.23111,35.53946579
00000056a,357.812836,43.80742293
00000057a,0,0
00000058a,0,0
00000059a,0,0
00000059a,240.441727,25.43237481
0000005Aa,0,0
0000005Ba,0,0
0000005Ba,398.643738,56.84612533
0000005Ca,0,0
0000005Ca,267.57019,33.65805825
0000005Da,0,0
0000005Da,147.981644,17.58063991
0000005Ea,0,0
0000005Ea,402.837708,49.10718581
0000005Ea,572.655151,74.48370967
0000005Fa,0,0
00000060a,0,0
00000060a,494.669769,60.97425252
00000060a,621.614807,91.2331366
00000061a,0,0
00000062a,0,0
00000063a,0,0
00000063a,291.455231,31.65500785
00000064a,0,0
00000064a,542.199585,71.72090184
00000064a,611.058594,86.94196264
00000065a,0,0
00000065a,199.572052,19.5928998
00000066a,0,0
00000066a,315.279266,39.52147026
00000067a,0,0
00000068a,0,0
00000069a,0,0
0000006Aa,0,0
0000006Ba,0,0
0000006Ba,458.890137,60.68907392
0000006Ba,571.417297,76.30963935
0000006Ca,0,0
0000006Ca,375.800842,45.48991724
0000006Ca,581.231506,82.3562205
0000006Da,0,0
0000006Ea,0,0
0000006Ea,357.472748,43.17064261
0000006Ea,409.769867,52.00346905
0000006Fa,0,0
0000006Fa,306.02771,39.7663616
0000006Fa,365.225311,51.89317525
00000070a,0,0
00000071a,0,0
00000071a,364.108826,47.87307365
00000072a,0,0
00000073a,0,0
00000074a,0,0
00000075a,0,0
00000075a,179.220306,18.5411617
00000075a,371.665649,53.6870191
00000075a,502.709137,87.3947694
00000076a,0,0
00000076a,229.74939,22.29798292
00000076a,459.747284,53.23749831
00000076a,671.749756,92.77102297
00000076a,779.552185,121.7447393
00000076a,809.779358,132.3153886
00000077a,0,0
00000078a,0,0
00000078a,264.143311,26.34227689
00000078a,398.363007,51.04279007
00000079a,0,0
00000079a,226.915131,28.30522891
00000079a,433.777771,64.27305581
00000079a,542.459839,91.1231677
0000007Aa,0,0
0000007Aa,335.241211,34.83842126
0000007Aa,430.398712,48.5629277
0000007Ba,0,0
0000007Ca,0,0
0000007Da,0,0
0000007Da,43.037327,6.793742231
0000007Da,141.854324,20.82921926
0000007Ea,0,0
0000007Ea,590.738464,75.18765576
0000007Fa,0,0
0000007Fa,495.971558,61.07596545
0000007Fa,595.998901,76.40135269
0000007Fa,699.041504,104.0451869
00000080a,0,0
00000081a,0,0
00000081a,407.458954,49.00986024
00000081a,502.801025,63.20686182
00000082a,0,0
00000082a,242.064545,29.75264347
00000082a,404.034912,53.76108041
00000083a,0,0
00000084a,0,0
00000084a,69.069351,9.097283683
00000084a,156.484207,20.10605768
00000084a,316.321442,55.55190678
00000085a,0,0
00000085a,311.226257,28.60724939
00000085a,441.321869,46.91601926
00000085a,540.52533,66.66276563
00000086a,0,0
00000087a,0,0
00000087a,486.324188,74.35753306
00000088a,0,0
00000088a,297.351105,30.93796741
00000089a,0,0
0000008Aa,0,0
0000008Aa,437.42984,50.3805819
0000008Aa,537.843689,77.49550066
0000008Ba,0,0
0000008Ba,507.440186,68.18762723
0000008Ca,0,0
0000008Da,0,0
0000008Da,161.010956,20.86738901
0000008Ea,0,0
0000008Fa,0,0
0000008Fa,607.804077,82.65906911
0000008Fa,781.065063,115.7771464
00000090a,0,0
00000090a,207.728745,20.2087007
00000091a,0,0
00000091a,377.941833,51.52691297
00000091a,311.693054,42.50935455
00000092a,0,0
00000092a,575.059143,67.55684383
00000093a,0,0
00000093a,365.58905,43.25167281
00000093a,687.502869,96.05482997
00000093a,811.319519,136.5047341
00000094a,0,0
00000094a,175.581253,16.6029022
00000095a,0,0
00000096a,0,0
00000097a,0,0
00000097a,76.274071,10.74925526
00000098a,0,0
00000098a,145.760422,19.62536528
00000099a,0,0
0000009Aa,0,0
0000009Ba,0,0
0000009Ba,66.608887,5.556622982
0000009Ca,0,0
0000009Da,0,0
0000009Da,389.986267,44.14039888
0000009Ea,0,0
0000009Ea,342.005859,41.93261036
0000009Ea,538.134399,71.79409437
0000009Ea,614.24646,90.51507145
0000009Fa,0,0
0000009Fa,640.729126,84.00932565
0000009Fa,423.705658,46.86510658
0000009Fa,578.215698,70.60940268
0000009Fa,669.473877,92.1081614
000000A0a,0,0
000000A0a,444.783661,60.9690319
000000A1a,0,0
000000A1a,309.90152,37.97293489
000000A2a,0,0
000000A2a,282.539307,29.07629718
000000A2a,397.248749,46.18435392
000000A2a,480.779358,68.41133135
000000A2a,545.792847,96.99139331
000000A2a,560.538391,104.7084797
000000A3a,0,0
000000A3a,423.630005,59.70021604
000000A4a,0,0
000000A4a,188.663559,17.97455241
000000A5a,0,0
000000A6a,0,0
000000A6a,257.436615,34.52637432
000000A7a,0,0
000000A8a,0,0
000000A8a,176.711502,24.06253692
000000A9a,0,0
000000A9a,392.506622,51.45272902
000000AAa,0,0
000000AAa,346.845093,44.21605275
000000ABa,0,0
000000ABa,273.519775,28.35017571
000000ABa,591.98999,75.69607824
000000ABa,623.326477,81.08839201
000000ACa,0,0
000000ACa,140.786942,16.88803298
000000ADa,0,0
000000ADa,141.682037,15.27485341
000000ADa,332.90506,46.47634762
000000ADa,430.147156,68.60415423
000000AEa,0,0
000000AEa,530.230713,70.93548252
000000AEa,720.048401,108.2641443
000000AFa,0,0
000000B0a,0,0
000000B0a,345.83136,39.80236555
000000B0a,447.353638,54.12692669
000000B0a,550.543762,70.96464408
000000B1a,0,0
000000B1a,295.177734,33.64859975
000000B2a,0,0
000000B2a,294.916473,37.91421166
000000B3a,0,0
000000B4a,0,0
000000B5a,0,0
000000B5a,565.080139,76.9369264
000000B5a,708.507019,103.2143172
000000B6a,0,0
000000B6a,376.169403,38.62948028
000000B7a,0,0
000000B7a,97.060585,10.58513486
000000B7a,246.244217,39.85032023
000000B8a,0,0
000000B8a,433.428223,53.61879234
000000B8a,554.8703,86.63755206
000000B9a,0,0
000000B9a,528.778442,64.44862842
000000B9a,604.692383,75.64560016
000000BAa,0,0
000000BBa,0,0
000000BBa,204.003342,21.11757918
000000BCa,0,0
000000BDa,0,0
000000BDa,441.508545,61.46818973
000000BDa,645.039246,102.9131908
000000BDa,693.87738,117.8102965
000000BEa,0,0
000000BFa,0,0
000000C0a,0,0
000000C1a,0,0
000000C2a,0,0
000000C2a,301.82605,33.94058747
000000C2a,472.402191,67.38464607
000000C3a,0,0
000000C3a,293.71051,33.03280627
000000C3a,490.741211,103.016754
000000C3a,528.541138,123.5897172
000000C4a,0,0
000000C5a,0,0
000000C5a,485.228882,57.76540952
000000C6a,0,0
000000C6a,366.828918,48.33955807
000000C6a,485.874817,65.23163771
000000C7a,0,0
000000C7a,357.679993,48.64479103
000000C7a,439.111023,61.67497985
000000C8a,0,0
000000C8a,221.558151,22.96605063
000000C9a,0,0
000000C9a,629.714539,77.18064012
000000C9a,700.761658,86.93830138
000000CAa,0,0
000000CAa,362.996979,48.70364742
000000CAa,494.228119,77.46879755
000000CAa,580.746582,102.3067235
000000CBa,0,0
000000CCa,0,0
000000CDa,0,0
000000CDa,342.027924,39.62201861
000000CEa,0,0
000000CFa,0,0
000000D0a,0,0
000000D0a,605.888062,78.59061669
000000D1a,0,0
000000D2a,0,0
000000D2a,95.638512,11.53488329
000000D3a,0,0
000000D4a,0,0
000000D4a,260.99353,23.49360216
000000D5a,0,0
000000D6a,0,0
000000D7a,0,0
000000D7a,178.987701,23.68924501
000000D8a,0,0
000000D8a,454.920959,65.68145771
000000D9a,0,0
000000D9a,170.695831,16.63163525
000000D9a,420.58139,52.55146594
000000DAa,0,0
000000DBa,0,0
000000DBa,387.767395,42.96369432
000000DCa,0,0
000000DCa,215.610336,28.29960554
000000DDa,0,0
000000DDa,219.439621,30.33010997
000000DDa,428.104828,64.17145002
000000DEa,0,0
000000DEa,225.561905,25.36344377
000000DEa,356.518738,55.05114373
000000DFa,0,0
000000E0a,0,0
000000E1a,0,0
000000E2a,0,0
000000E2a,391.933411,42.49812107
000000E2a,603.014587,81.03341682
